task_id,run_id,model,task_type,dynamic_state_task,public_pass,hidden_pass,functional_pass,extraction_ratio,copied_file_count,copied_loc,repeated_file_reads,repeated_line_reads,tool_error_count,harness_format_error_count,closure_plan_present,self_generated_tests,hidden_risk_discussed,stop_reason,primary_failure,trajectory_path,evaluation_path,evidence_step_ids
pytest__ini_markers_core__001,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__ini_markers_core__001,deepseek/deepseek-v4-flash,config_environment_coupling,true,true,false,false,0.000773,1,59,0,0,1,0,false,false,false,completion_signal,hidden_behavior_contract_failure,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__ini_markers_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__ini_markers_core__001/eval/result.json,"[""03e25c90-ce30-4817-839f-b9af4f2c51a1"",""e4ea0d2a-3c5d-40d9-9c25-78b9ebce640e"",""eval:hidden_tests""]"
pytest__skipif_eval_core__001,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__skipif_eval_core__001,deepseek/deepseek-v4-flash,framework_coupling,true,true,false,false,0.001781,1,136,0,0,0,1,false,false,true,completion_signal,hidden_interface_or_closure_failure,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__skipif_eval_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__skipif_eval_core__001/eval/result.json,"[""5a26d308-d20e-4b4b-bf15-fd7991ca2996"",""a22e1b0a-8b51-45a7-9b81-b55c9c389156"",""eval:hidden_tests""]"
pytest__fixture_resolve_core__001,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__fixture_resolve_core__001,deepseek/deepseek-v4-flash,framework_coupling,true,true,false,false,0.002607,3,199,0,0,0,0,false,false,true,completion_signal,hidden_interface_or_closure_failure,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__fixture_resolve_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__fixture_resolve_core__001/eval/result.json,"[""711659aa-babe-4d4f-9adb-1a7570846e9c"",""eval:hidden_tests""]"
pytest__mark_expression_core__001,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__mark_expression_core__001,deepseek/deepseek-v4-flash,parser_state_coupling,false,true,true,true,0.003550,2,271,0,0,0,0,false,false,true,completion_signal,passed,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__mark_expression_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pytest__mark_expression_core__001/eval/result.json,"[""53ea9fd6-152c-403a-ac3e-1bde3347b5ee""]"
distlib__wheel_metadata_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-wave2wave4/distlib__wheel_metadata_core__hard3_001,deepseek/deepseek-v4-flash,resource_coupling,true,true,false,false,0.014804,1,53,6,0,1,0,false,false,true,completion_signal,hidden_behavior_contract_failure,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-wave2wave4/distlib__wheel_metadata_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260707-wave2wave4/distlib__wheel_metadata_core__hard3_001/eval/result.json,"[""37765f1b-44c0-4504-9193-496301424612"",""f8970e98-d81c-4d25-bc66-dae176e0ccc8"",""c6c7ec68-1edf-42fb-869f-14c5d526be4a"",""c0047b53-ef22-4cd9-baca-49c4363ebb51"",""eval:hidden_tests""]"
pygments__lexer_core__001,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pygments__lexer_core__001,deepseek/deepseek-v4-flash,parser_state_coupling,true,true,false,false,0.027615,12,2833,6,0,2,0,true,false,true,completion_signal,hidden_behavior_contract_failure,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pygments__lexer_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pygments__lexer_core__001/eval/result.json,"[""d2f1eadc-e0c2-44e5-b68d-333d64be1e1a"",""330e9466-5a4a-4823-9ee2-c71be9cefa6e"",""7c227a93-a4b6-4712-bd7d-c80f3c1287f0"",""4d806666-2346-481b-936c-954e5d699e4a"",""9905e88c-c6e6-44cc-a346-93fbac469362"",""eval:hidden_tests""]"
pygments__formatter_core__001,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pygments__formatter_core__001,deepseek/deepseek-v4-flash,parser_state_coupling,false,true,true,true,0.035218,19,3613,5,2,3,0,false,false,false,completion_signal,passed,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pygments__formatter_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/pygments__formatter_core__001/eval/result.json,"[""328ad6d5-e1fe-466c-9e5d-0c1a68202496"",""5a10f746-a5ef-44eb-9559-bd67f0a7c4dc"",""6f540075-78d8-4d72-9e5f-e1562b74803b"",""b95c6b7c-ad3a-482f-9e36-9b1095e47157"",""cabd4299-bbd7-4473-8871-a9e90a76969a"",""a344a9c1-e1e9-4075-be9c-b0689363f83e"",""8b4f03d5-d7e5-44a5-9b2a-95b890b3d174""]"
coverage__report_core__001,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/coverage__report_core__001,deepseek/deepseek-v4-flash,config_environment_coupling,false,true,true,true,0.036169,12,1231,2,1,1,0,true,false,true,explicit_finish,passed,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/coverage__report_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/coverage__report_core__001/eval/result.json,"[""6fb75af3-3164-43d7-a0da-464df516701f"",""a3bd505a-1654-41a3-bbed-e2ed30420142"",""03d2f700-3d36-421e-ab76-06a55cb52417"",""9b5c16f2-e477-4272-a8ed-dc2fb27f4c30"",""b7da693f-de54-4a95-9d0e-63c07c1bea17""]"
diskcache__eviction_policy_core__hard3_001,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260708-wave5/diskcache__eviction_policy_core__hard3_001,deepseek/deepseek-v4-flash,resource_coupling,true,true,false,false,0.041578,2,117,2,0,0,0,false,false,true,completion_signal,hidden_interface_or_closure_failure,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260708-wave5/diskcache__eviction_policy_core__hard3_001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/batch3-flash-20260708-wave5/diskcache__eviction_policy_core__hard3_001/eval/result.json,"[""f5b4b21a-19fd-4434-bc05-d5de5cc5f52e"",""6a5dd66b-3680-4910-aa2c-26de02794acb"",""8983822d-0773-4a70-b596-104bb30fcb8b"",""eval:hidden_tests""]"
faker__provider_core__001,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/faker__provider_core__001,deepseek/deepseek-v4-flash,resource_coupling,true,true,true,true,0.052591,21,17701,0,0,0,1,true,false,true,completion_signal,passed,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/faker__provider_core__001/agent/openhands_events.jsonl,experiments/python/openhands/deepseek-v4-flash/main-flash-20260705-232429/faker__provider_core__001/eval/result.json,"[""43bed501-5b28-456c-964c-2057868a2272"",""f698ad9d-f428-48c4-b8ac-259cf8faba0a""]"
