task_id,split,source_repo,source_commit,source_group_id,repo_archetype_primary,repo_archetype_secondary,repo_provenance,repo_domain_primary,repo_domain_secondary,feature_family_primary,feature_family_secondary,feature_statefulness,entanglement_primary_original,entanglement_types_original,normalized_entanglement_types,behavioral_risk_tags,codebase_condition_tags,reference_file_count,reference_symbol_count,reference_loc,source_entrypoint_count,direct_internal_dependency_count,transitive_internal_dependency_count,external_dependency_count,static_file_closure_depth,resource_file_count,has_dynamic_import,has_global_state,has_registry,has_framework_lifecycle,adapter_required,public_test_count,hidden_test_count,classification_evidence,classification_confidence,review_status,taxonomy_version
aiohttp__url_params_core__hard3_001,hard50,aiohttp,649887ca860437e610fc4af5c8363a9be6f19681,aiohttp,library,,real_oss_mature,networking,,validate_normalize_construct,,stateless,data_model_coupling,data_model_coupling;third_party_dependency_coupling,data_model_invariant;third_party_contract,exception_semantics;ordering_semantics,,1,3,947,1,0,0,5,0,0,false,false,false,false,NA,1,3,benchmark/tasks/aiohttp__url_params_core__hard3_001/metadata.json;benchmark/tasks/aiohttp__url_params_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/aiohttp__url_params_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/aiohttp__url_params_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/aiohttp__url_params_core__hard3_001/repo/aiohttp/helpers.py,medium,ai_assisted_reviewed_v1,v1
alembic__revision_map_core__hard3_001,hard50,alembic,c88fa5afaf2b9783a58a918f3fc73abc44daa0a9,alembic,developer_tooling,,real_oss_mature,application,,algorithm_data_structure,,local_state,data_model_coupling,data_model_coupling;implicit_dependency_coupling;parser_state_coupling,data_model_invariant;implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases;exception_semantics;ordering_semantics,weak_module_boundaries,6,5,2773,5,0,0,2,0,2,false,false,false,false,NA,3,6,benchmark/tasks/alembic__revision_map_core__hard3_001/metadata.json;benchmark/tasks/alembic__revision_map_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/alembic__revision_map_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/alembic__revision_map_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/alembic__revision_map_core__hard3_001/repo/alembic/script/revision.py,medium,ai_assisted_reviewed_v1,v1
apscheduler__cron_trigger_core__hard3_001,hard50,apscheduler,4de063392ff59f4df6ec0f4e3e2020539d79fdc9,apscheduler,library,,real_oss_mature,general_utility,,protocol_state_transition,,session_state,parser_state_coupling,implicit_dependency_coupling;parser_state_coupling,implicit_runtime_dependency;parser_state,boundary_cases,,1,1,263,1,0,0,4,0,0,false,false,false,true,NA,1,2,benchmark/tasks/apscheduler__cron_trigger_core__hard3_001/metadata.json;benchmark/tasks/apscheduler__cron_trigger_core__hard3_001/evaluation/oracle_manifest.json;benchmark/tasks/apscheduler__cron_trigger_core__hard3_001/public_tests/test_public_contract.py;benchmark/tasks/apscheduler__cron_trigger_core__hard3_001/hidden_tests/test_hidden_contract.py;benchmark/tasks/apscheduler__cron_trigger_core__hard3_001/repo/src/apscheduler/triggers/cron/__init__.py,high,reviewed_v1,v1
arrow__parse_format_core__001,core100,arrow,1.2.3-installed-snapshot,arrow,library,,real_oss_mature,parsing,,parse_tokenize_decode,serialize_format_render,local_state,parser_state_coupling,data_model_coupling;implicit_dependency_coupling;parser_state_coupling,data_model_invariant;implicit_runtime_dependency;parser_state;static_transitive_dependency,boundary_cases,weak_module_boundaries,8,NA,8545,4,8,0,2,1,0,false,false,true,false,NA,3,6,benchmark/tasks/arrow__parse_format_core__001/metadata.json;benchmark/tasks/arrow__parse_format_core__001/evaluation/oracle_manifest.json;benchmark/tasks/arrow__parse_format_core__001/public_tests/test_public_api.py;benchmark/tasks/arrow__parse_format_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/arrow__parse_format_core__001/repo/arrow/__init__.py;benchmark/tasks/arrow__parse_format_core__001/repo/arrow/api.py;benchmark/tasks/arrow__parse_format_core__001/repo/arrow/parser.py,high,reviewed_v1,v1
astroid__nodes_core__001,core100,astroid,2.14.2-installed-snapshot,astroid,developer_tooling,,real_oss_mature,parsing,,parse_tokenize_decode,algorithm_data_structure,lifecycle_state,data_model_coupling,data_model_coupling;framework_coupling;parser_state_coupling,data_model_invariant;dynamic_import_plugin;framework_lifecycle;parser_state;static_transitive_dependency,boundary_cases,,44,NA,18872,3,17,26,5,3,0,true,true,true,true,NA,1,3,benchmark/tasks/astroid__nodes_core__001/metadata.json;benchmark/tasks/astroid__nodes_core__001/evaluation/oracle_manifest.json;benchmark/tasks/astroid__nodes_core__001/public_tests/test_public_api.py;benchmark/tasks/astroid__nodes_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/astroid__nodes_core__001/repo/astroid/__init__.py;benchmark/tasks/astroid__nodes_core__001/repo/astroid/_cache.py;benchmark/tasks/astroid__nodes_core__001/repo/astroid/brain/helpers.py,high,reviewed_v1,v1
attrs__validators_core__001,core100,attrs,23.1.0,attrs,library,,real_oss_mature,data_modeling,,validate_normalize_construct,,lifecycle_state,data_model_coupling,data_model_coupling;framework_coupling;implicit_dependency_coupling,data_model_invariant;framework_lifecycle;implicit_runtime_dependency;static_transitive_dependency,boundary_cases;exception_semantics;mutation_side_effects,,NA,NA,NA,5,8,4,2,2,NA,false,true,true,true,NA,2,4,benchmark/tasks/attrs__validators_core__001/metadata.json;benchmark/tasks/attrs__validators_core__001/evaluation/oracle_manifest.json;benchmark/tasks/attrs__validators_core__001/public_tests/test_validators_public.py;benchmark/tasks/attrs__validators_core__001/hidden_tests/test_validators_hidden.py;benchmark/tasks/attrs__validators_core__001/repo/attr/_config.py;benchmark/tasks/attrs__validators_core__001/repo/attr/_make.py;benchmark/tasks/attrs__validators_core__001/repo/attr/_next_gen.py,high,reviewed_v1,v1
babel__plural_core__001,core100,babel,2.11.0-installed-snapshot,babel,library,,real_oss_mature,general_utility,,cache_retry_policy,,stateless,third_party_dependency_coupling,data_model_coupling;resource_coupling;third_party_dependency_coupling,data_model_invariant;resource_packaging;static_transitive_dependency;third_party_contract,boundary_cases;exception_semantics,,11,NA,1654,4,4,0,0,1,7,false,true,true,false,NA,1,3,benchmark/tasks/babel__plural_core__001/metadata.json;benchmark/tasks/babel__plural_core__001/evaluation/oracle_manifest.json;benchmark/tasks/babel__plural_core__001/public_tests/test_public_api.py;benchmark/tasks/babel__plural_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/babel__plural_core__001/repo/babel/core.py;benchmark/tasks/babel__plural_core__001/repo/babel/localedata.py;benchmark/tasks/babel__plural_core__001/repo/babel/plural.py,high,reviewed_v1,v1
bidict__bidirectional_map_core__001,core100,bidict,393bcfdc8edb861514d23aae55839272b5bd52f8,bidict,library,,real_oss_mature,general_utility,,algorithm_data_structure,,local_state,data_model_coupling,data_model_coupling;implicit_dependency_coupling,data_model_invariant;implicit_runtime_dependency;static_transitive_dependency,boundary_cases;exception_semantics;ordering_semantics,weak_module_boundaries,11,NA,1308,6,6,0,1,1,0,false,false,false,false,NA,3,6,benchmark/tasks/bidict__bidirectional_map_core__001/metadata.json;benchmark/tasks/bidict__bidirectional_map_core__001/evaluation/oracle_manifest.json;benchmark/tasks/bidict__bidirectional_map_core__001/public_tests/test_public_api.py;benchmark/tasks/bidict__bidirectional_map_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/bidict__bidirectional_map_core__001/repo/bidict/_bidict.py;benchmark/tasks/bidict__bidirectional_map_core__001/repo/bidict/_dup.py;benchmark/tasks/bidict__bidirectional_map_core__001/repo/bidict/_exc.py,high,reviewed_v1,v1
bleach__sanitize_core__001,core100,bleach,4.1.0-installed-snapshot,bleach,library,,real_oss_mature,parsing,,validate_normalize_construct,,stateless,parser_state_coupling,data_model_coupling;parser_state_coupling,data_model_invariant;parser_state;static_transitive_dependency,boundary_cases;lifecycle_semantics,,37,NA,13616,2,4,29,7,5,0,false,true,true,false,NA,3,6,benchmark/tasks/bleach__sanitize_core__001/metadata.json;benchmark/tasks/bleach__sanitize_core__001/evaluation/oracle_manifest.json;benchmark/tasks/bleach__sanitize_core__001/public_tests/test_public_api.py;benchmark/tasks/bleach__sanitize_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/bleach__sanitize_core__001/repo/bleach/__init__.py;benchmark/tasks/bleach__sanitize_core__001/repo/bleach/_vendor/html5lib/serializer.py;benchmark/tasks/bleach__sanitize_core__001/repo/bleach/_vendor/html5lib/treebuilders/__init__.py,high,reviewed_v1,v1
boltons__iterutils_core__001,core100,boltons,23.0.0-installed-snapshot,boltons,library,,real_oss_mature,general_utility,,algorithm_data_structure,,local_state,data_model_coupling,data_model_coupling;parser_state_coupling,data_model_invariant;parser_state,boundary_cases;exception_semantics,,1,NA,1281,7,0,0,1,0,0,false,false,true,false,NA,3,11,benchmark/tasks/boltons__iterutils_core__001/metadata.json;benchmark/tasks/boltons__iterutils_core__001/evaluation/oracle_manifest.json;benchmark/tasks/boltons__iterutils_core__001/public_tests/test_public_api.py;benchmark/tasks/boltons__iterutils_core__001/hidden_tests/test_hidden_behavior.py;benchmark/tasks/boltons__iterutils_core__001/repo/boltons/iterutils.py,high,reviewed_v1,v1
