task_id,variant,authoring_started_utc,authoring_finished_utc,person_hours,non_environment_rework_rounds,evaluator_runs,reviewer,notes
pydantic_v1__validation_error_core__001,alternative_v11,,,,,,,
pydantic_v1__validation_error_core__001,copy_heavy_v11,,,,,,,
pydantic_v1__validation_error_core__001,narrow_v11,,,,,,,
coverage__config_merge_core__001,alternative_v11,,,,,,,
coverage__config_merge_core__001,copy_heavy_v11,,,,,,,
coverage__config_merge_core__001,narrow_v11,,,,,,,
lark__grammar_loader_core__001,alternative_v11,,,,,,,
lark__grammar_loader_core__001,copy_heavy_v11,,,,,,,
lark__grammar_loader_core__001,narrow_v11,,,,,,,
websockets__handshake_parse_core__001,alternative_v11,,,,,,,
websockets__handshake_parse_core__001,copy_heavy_v11,,,,,,,
websockets__handshake_parse_core__001,narrow_v11,,,,,,,
schema__nested_validate_core__hard3_001,alternative_v11,,,,,,,
schema__nested_validate_core__hard3_001,copy_heavy_v11,,,,,,,
schema__nested_validate_core__hard3_001,narrow_v11,,,,,,,
requests_cache__cache_key_core__hard3_001,alternative_v11,,,,,,,
requests_cache__cache_key_core__hard3_001,copy_heavy_v11,,,,,,,
requests_cache__cache_key_core__hard3_001,narrow_v11,,,,,,,
sqlparse__format_filters_core__001,alternative_v11,,,,,,,
sqlparse__format_filters_core__001,copy_heavy_v11,,,,,,,
sqlparse__format_filters_core__001,narrow_v11,,,,,,,
celery__signal_dispatch_core__hard3_001,alternative_v11,,,,,,,
celery__signal_dispatch_core__hard3_001,copy_heavy_v11,,,,,,,
celery__signal_dispatch_core__hard3_001,narrow_v11,,,,,,,
