model,category,n,denominator,percent
deepseek-v4-pro,contract_api_completion,0,26,0.0
deepseek-v4-pro,dependency_closure,1,26,3.8461538461538463
deepseek-v4-pro,behavior_drift,25,26,96.15384615384616
deepseek-v4-pro,packaging_modularization,0,26,0.0
deepseek-v4-pro,localization,0,26,0.0
deepseek-v4-pro,unknown,0,26,0.0
deepseek-v4-flash,contract_api_completion,0,31,0.0
deepseek-v4-flash,dependency_closure,1,31,3.225806451612903
deepseek-v4-flash,behavior_drift,30,31,96.7741935483871
deepseek-v4-flash,packaging_modularization,0,31,0.0
deepseek-v4-flash,localization,0,31,0.0
deepseek-v4-flash,unknown,0,31,0.0
gpt-5.6-luna,contract_api_completion,2,30,6.666666666666667
gpt-5.6-luna,dependency_closure,1,30,3.3333333333333335
gpt-5.6-luna,behavior_drift,27,30,90.0
gpt-5.6-luna,packaging_modularization,0,30,0.0
gpt-5.6-luna,localization,0,30,0.0
gpt-5.6-luna,unknown,0,30,0.0
glm-5.3-flash,contract_api_completion,7,35,20.0
glm-5.3-flash,dependency_closure,1,35,2.857142857142857
glm-5.3-flash,behavior_drift,27,35,77.14285714285714
glm-5.3-flash,packaging_modularization,0,35,0.0
glm-5.3-flash,localization,0,35,0.0
glm-5.3-flash,unknown,0,35,0.0
qwen3.6-35b-a3b-fp8,contract_api_completion,2,42,4.761904761904762
qwen3.6-35b-a3b-fp8,dependency_closure,1,42,2.380952380952381
qwen3.6-35b-a3b-fp8,behavior_drift,38,42,90.47619047619048
qwen3.6-35b-a3b-fp8,packaging_modularization,1,42,2.380952380952381
qwen3.6-35b-a3b-fp8,localization,0,42,0.0
qwen3.6-35b-a3b-fp8,unknown,0,42,0.0
gpt-oss-120b,contract_api_completion,5,64,7.8125
gpt-oss-120b,dependency_closure,3,64,4.6875
gpt-oss-120b,behavior_drift,54,64,84.375
gpt-oss-120b,packaging_modularization,1,64,1.5625
gpt-oss-120b,localization,0,64,0.0
gpt-oss-120b,unknown,1,64,1.5625
