task_id,model,arm,source,attempt,retained_run_json,run_json_sha256,selection_reason,old_functional_pass,new_attempt_functional_pass,retained_functional_pass,old_first_outcome,attempt01_first_outcome,retained_first_outcome,attempt01_delivered,attempt01_api_error_without_submission,unresolved_service_failure
deepdiff__deep_compare_core__001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/deepdiff__deep_compare_core__001/run.json,c9568f58357559197a41cb1b5c6fa1a978ff0337236b9539aac879c074cfeafb,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
mako__lexer_expression_core__001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/mako__lexer_expression_core__001/run.json,9234b6577981556636145606fd9c00b542125ec1efff0ef3ed738cffada26920,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
parso__python_parse_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/parso__python_parse_core__001/run.json,9a930532b379602c6e262a97d462908b03fedf68651457b1a5e15caf6dac3be5,not_in_timeout_empty_set,0,,0,Public,,Public,,,0
pydantic_v1__validation_error_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/pydantic_v1__validation_error_core__001/run.json,036c02d5c0435dd6ec01880e89ada03234d62cc2429779d876dbf7b598c30831,not_in_timeout_empty_set,0,,0,Hidden,,Hidden,,,0
pytest__ini_markers_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/pytest__ini_markers_core__001/run.json,407d12abc58ebbaf399f30e411078a19d95dd65504570c0800606f25a0323d33,not_in_timeout_empty_set,0,,0,Public,,Public,,,0
decorator__signature_preserving_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/decorator__signature_preserving_core__001/run.json,ab42fd86d3ee8e368a29c0a14734ac70c4bb884736d7e24610733ea4bf1194ae,not_in_timeout_empty_set,1,,1,Pass,,Pass,,,0
hatch__project_metadata_core__hard3_001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/hatch__project_metadata_core__hard3_001/run.json,c2cbcc043e11b524daba3643012d711a506e8556f0f267a39cfaf2e9ae9c471d,not_in_timeout_empty_set,0,,0,Public,,Public,,,0
astroid__nodes_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/astroid__nodes_core__001/run.json,404746d06ac6fd36ed18ad9582579f5010b9256c7057e67160d9b87505f045bc,not_in_timeout_empty_set,0,,0,Hidden,,Hidden,,,0
babel__plural_core__001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/babel__plural_core__001/run.json,b60eecbf13751732e98f4e4b0dc60ee2bf76bb499959b912c60a16f6e045bc20,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
attrs__validators_core__001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/attrs__validators_core__001/run.json,be1fe319adf6b1979f8908eda7872e353b6f4e715169d1f17dc41811a315342e,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
jinja2__loader_inheritance_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/jinja2__loader_inheritance_core__001/run.json,f3eec3a6c0db8d5b68c75004b8f34554280d3020e233c4023be65bef77537d9f,not_in_timeout_empty_set,1,,1,Pass,,Pass,,,0
pluggy__hook_wrapper_core__hard3_001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/pluggy__hook_wrapper_core__hard3_001/run.json,216e1bc6897121f222f7d25217a2573e6d8d6e724e1839e7a637e93684c4751f,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
requests_cache__cache_key_core__hard3_001,deepseek-v4-pro,contract_only,recovery_attempt01,attempt-01,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-contract-recovery-20260915T103500Z/attempt-01/contract_only/requests_cache__cache_key_core__hard3_001/run.json,655c11e02947795e06bdabf2cbd3608f62c9ff75fd1e3febd0d5f323a16d943c,recovery_attempt01_valid_outcome,0,0,0,Missing,Public,Public,1,0,0
tomlkit__roundtrip_document__001,deepseek-v4-pro,contract_only,recovery_attempt01,attempt-01,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-contract-recovery-20260915T103500Z/attempt-01/contract_only/tomlkit__roundtrip_document__001/run.json,f5fe784da3f2a5e339d2ecd99469963c56ade7cc8e2fa7e38079041f175f4953,recovery_attempt01_valid_outcome,0,0,0,Missing,Public,Public,1,0,0
python_decouple__config_repository_core__001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/python_decouple__config_repository_core__001/run.json,e8b1efeb4eec91481b546fee52fbd7bd467c7ca4e0f354efca7a1b3d46251e8b,not_in_timeout_empty_set,0,,0,Public,,Public,,,0
voluptuous__schema_validate_core__001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/voluptuous__schema_validate_core__001/run.json,1d66f5fdbc87e492916b057bb15e3f5611bd0cb9df5b5d0a03d74baa64bfabd0,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
lark__parse_tree_core__001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/lark__parse_tree_core__001/run.json,37fe8d533c10d09c4d1cfb65c4d23cd0eea77af5d2e27998ed52e7604f7c1160,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
platformdirs__app_dirs_core__hard3_001,deepseek-v4-pro,contract_only,recovery_attempt01,attempt-01,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-contract-recovery-20260915T103500Z/attempt-01/contract_only/platformdirs__app_dirs_core__hard3_001/run.json,eafd829868ed3ab556798abb03105ddf9cddfefcc866a04811ee218c7f03dd3d,recovery_attempt01_valid_outcome,0,0,0,Missing,Public,Public,1,0,0
setuptools_scm__version_normalize_core__hard3_001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/setuptools_scm__version_normalize_core__hard3_001/run.json,54a4fa847f5709c2cf3921d9971161146ad0e7cafe7b2a3af750299926ad86cc,not_in_timeout_empty_set,0,,0,Hidden,,Hidden,,,0
yamale__schema_validate_core__hard3_001,deepseek-v4-pro,contract_only,original_unchanged_22,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/yamale__schema_validate_core__hard3_001/run.json,df57ba38867df87e735f04ab653f414df33c2685027fe1e22f48dc92ee78f87c,not_in_timeout_empty_set,0,,0,Public,,Public,,,0
humanize__naturaltime_core__001,deepseek-v4-pro,contract_only,unresolved_keep_original,original,experiments/python/openhands/deepseek-v4-pro/source-ablation-40-r1/contract_only/humanize__naturaltime_core__001/run.json,7844d3eb48f3cfdf9f1c424ee656e29e0ae8da4ee3d5d1ad517adb255816b0a1,unresolved_service_failure_timeout_empty,0,0,0,Missing,Missing,Missing,0,1,1
