task_id,feature_family,lift_type,source_repo_id,source_snapshot_id,common_comparison,mechanism_coverage_available,Code dependencies,Data and state,Framework mechanisms,Environment and resources
aiohttp__url_params_core__hard3_001,validate_normalize_construct,Adapted,github__aio_libs__aiohttp,github__aio_libs__aiohttp__f9b96545c5f4,True,True,1,1,0,0
alembic__revision_map_core__hard3_001,algorithm_data_structure,Adapted,github__sqlalchemy__alembic,github__sqlalchemy__alembic__56669fdd1c0f,True,True,1,1,0,0
apscheduler__cron_trigger_core__hard3_001,protocol_state_transition,Adapted,github__agronholm__apscheduler,github__agronholm__apscheduler__8b02f96b57dc,True,True,1,1,0,0
arrow__parse_format_core__001,parse_tokenize_decode,Adapted,github__arrow_py__arrow,github__arrow_py__arrow__c130ffb9980a,True,True,1,1,0,0
astroid__nodes_core__001,parse_tokenize_decode,Adapted,github__pycqa__astroid,github__pycqa__astroid__d140cd4da9d6,True,True,1,1,1,0
attrs__validators_core__001,validate_normalize_construct,Direct,github__python_attrs__attrs,github__python_attrs__attrs__48bfb491ee6a,True,True,1,1,1,0
babel__plural_core__001,cache_retry_policy,Adapted,github__python_babel__babel,github__python_babel__babel__daa7160174ce,True,True,1,1,0,1
bidict__bidirectional_map_core__001,algorithm_data_structure,Direct,github__jab__bidict,github__jab__bidict__dbbb0ca3e3ea,True,True,1,1,0,0
bleach__sanitize_core__001,validate_normalize_construct,Adapted,github__mozilla__bleach,github__mozilla__bleach__985ad60b8e4f,True,True,1,1,0,0
blinker__signal_registry_core__001,registry_plugin_dispatch,Direct,github__pallets_eco__blinker,github__pallets_eco__blinker__845796dd4cca,True,True,1,1,1,0
boltons__iterutils_core__001,algorithm_data_structure,Adapted,github__mahmoud__boltons,github__mahmoud__boltons__a4adb0d5e558,True,True,0,1,0,0
build__pyproject_backend_core__hard3_001,validate_normalize_construct,Adapted,github__pypa__build,github__pypa__build__0dd08861015a,True,True,1,1,0,1
cachetools__cache_eviction_core__001,cache_retry_policy,Direct,github__tkem__cachetools,github__tkem__cachetools__b6ff34e99c6f,True,True,1,1,0,0
cattrs__structure_core__001,serialize_format_render,Direct,github__python_attrs__cattrs,github__python_attrs__cattrs__5f60dbb75a07,True,True,1,1,1,0
celery__signal_dispatch_core__hard3_001,registry_plugin_dispatch,Adapted,github__celery__celery,github__celery__celery__ca877f3bafb2,True,True,0,1,1,0
cerberus__schema_validate_core__001,validate_normalize_construct,Direct,github__pyeve__cerberus,github__pyeve__cerberus__f94b31d35afd,True,True,1,1,1,0
chameleon__template_compile_core__001,serialize_format_render,Adapted,github__malthe__chameleon,github__malthe__chameleon__4718452f9233,True,True,1,1,1,0
click__lazy_command_core__hard3_001,registry_plugin_dispatch,Adapted,github__pallets__click,github__pallets__click__eadb3ec6941c,True,True,1,0,1,0
click__option_parser__001,parse_tokenize_decode,Adapted,github__pallets__click,github__pallets__click__a7cce6785c62,True,True,1,1,1,1
configobj__roundtrip_config_core__001,config_resolve_discover,Direct,github__diffsk__configobj,github__diffsk__configobj__38e58dce2418,True,True,1,1,0,1
cookiecutter__repo_finder_core__hard3_001,config_resolve_discover,Composite,github__cookiecutter__cookiecutter,github__cookiecutter__cookiecutter__4a97d92d7fa3,True,True,1,0,0,1
coverage__config_merge_core__001,config_resolve_discover,Adapted,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,True,True,1,0,1,1
coverage__glob_matcher_core__001,config_resolve_discover,Direct,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,True,True,1,0,0,1
coverage__path_remap_core__001,config_resolve_discover,Adapted,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,True,True,1,0,0,1
