task_id,spec_status,spec_hash,task_revision
aiohttp__url_params_core__hard3_001,compliant,b9acdf882f9fe8464059fef64a1e7f1293caa4d8b43bd7176c28f1c30b33aeaf,4
alembic__revision_map_core__hard3_001,compliant,de0b13bf175742dd845d96723818bbda117876b081bee4fa30e485e5b3614d28,4
apscheduler__cron_trigger_core__hard3_001,compliant,696d14e03f6fa794a3bcad0d4a846497b9cf1d57a1cdab0a827e845927b880da,4
arrow__parse_format_core__001,compliant,9ad4e967882e76541811d90619b9400ff666be0c799d165da4fccc39c3b86165,2
astroid__nodes_core__001,compliant,79c990eb8cf8e96d0e1f6a739367d04a0a2285fe60e14ace9782e4d81a283ed7,2
attrs__validators_core__001,compliant,6bc6abc532f770c524910eb7457502c2bb06b79c1ab9ba1df81fa73edcb7e53d,2
babel__plural_core__001,compliant,0e0c085adcd28583af850bef39347b1af8ef825e0826b00675e6fa6892cc35a5,2
bidict__bidirectional_map_core__001,compliant,b32e44546f54e0b7a7f09a53cf60ce195d80ffa43a1d02cc4b5c7c9c66138f90,2
bleach__sanitize_core__001,compliant,3e71438fcb4d3917e749eb48f8a6108673d8c5cb1b455807d57d98001215b698,2
boltons__iterutils_core__001,compliant,0d83425dc09628850091c4380888de09a5fe9047d310fbae2ab93812e8d79aa7,3
build__pyproject_backend_core__hard3_001,compliant,067e7515459edac96167849e34429abef15151eccfa1cfdc23e3d7c1ce8cf04d,4
cachetools__cache_eviction_core__001,compliant,9d12546b69bdbc559f09ea841675d4cee65860cb4365402da590b416e01fe87e,2
cattrs__structure_core__001,compliant,a3e0972cf65da9616b4bdf72b85e52449e52b69725985f4ff98e996264aee27c,2
celery__signal_dispatch_core__hard3_001,compliant,400fd11cd7bdef464892a9ac8f78735d401db9b36c1970e6da781423d8451a38,4
cerberus__schema_validate_core__001,compliant,1e38f64f35897a8b59a92dab00941922c9c57b81490a7188c12affcb36e54afe,2
chameleon__template_compile_core__001,compliant,6f5f39d1d349a30281506b4ebec31a8ef4c85b83c0184f3efc6106b22a53e7a3,2
click__lazy_command_core__hard3_001,compliant,a06153d64a212cf34990c430654b110c7d95e9fe01c62ad38b73bd55e95eb6dc,4
click__option_parser__001,compliant,6e51beddc358118d06cfab4c88a899c7aefb158de3ad90bc80108fa259dad9b7,3
configobj__roundtrip_config_core__001,compliant,cade42c0e6f6d2350f3564ae9ef6c88cd006bd01666f46faf40cb9c3012b6fb5,2
cookiecutter__repo_finder_core__hard3_001,compliant,65ff2f350459bad7145d08bc27349526a3ee8a17ed6d188d42414c3fb17076c5,4
coverage__config_merge_core__001,compliant,4353e1b024432765841f63768dce3c62a6ac67646b4857fea3b79b1110df497b,2
coverage__glob_matcher_core__001,compliant,97d386a25f6d936db13415306047740381d25fc2b31c7fc8236c5849ce4d00cd,2
coverage__path_remap_core__001,compliant,2e47626c057e02a2572731edafc8aa24903facb02add9a71c1c07055ff4ac942,2
coverage__report_core__001,compliant,d8b17b5991291ae2c42d8840eca36cff4b5c21c13eaa419c231d4fd5c2a245f1,2
coverage__source_selection_core__001,compliant,c52f8784d9d1bcc1b03095c6476173a73d81ebb7c2d863e15601378a3b5582e6,2
croniter__cron_parse_core__001,compliant,1b4d44d0a2af04b1b886d5aafbe30205d93523b097e2d572e74b18d7265ce7a4,2
dataclasses_json__serde_core__001,compliant,7ba1a115f459bc9d3df5ae953b76ec71d0f728f50d400e385d1da7b8f63c3627,3
dateutil__zone_resolver_core__hard3_001,compliant,c1c50e04ac16b57957883c9a44b4a576c8629dea87255d5a366bfe6419387ce9,4
deepdiff__deep_compare_core__001,compliant,0f0070f71b35c9e16a196388fa9697c038d240d342bf933c785bfed99d5be318,2
diskcache__eviction_policy_core__hard3_001,compliant,69cab679e22074d71228d9479d4b55211a0b20a3d90e0f0bc44cbad74339290d,4
distlib__wheel_metadata_core__hard3_001,compliant,1f0be576d7af13a36c45994e3a0cc5611c8eb599146e6d5c58f2fcc40504e466,4
dynaconf__settings_merge_core__001,compliant,38abd81cb37c43aacb3b7101b279da6b55db37f5fe6a7df068df97e9064c9efa,2
email_validator__validate_core__001,compliant,b1c64594c4bf4eac946a0b4dfc4414aa85988edda0c2b61bab8c976475310bd9,2
environs__typed_env_core__001,compliant,c162675e01d761908b07041d79b0b03ee2a237bcb294bf87ea6debc7e526b393,4
faker__provider_core__001,compliant,e70336d592f2e89c98d2e87991d5027d00f26a9732db4cca3644eec4545b0346,2
flake8__plugin_options_core__hard3_001,compliant,630f21d0e861d4f33fe122deb92e84a6c03eb9e24cc89c248970fbca6a37e2f0,4
fs__url_opener_core__hard3_001,compliant,0c550c16571f1e17211b38bb2c2cc8d24469de5a8a6e5f3ca9934521eea1756a,4
fsspec__url_chain_core__hard3_001,compliant,b63d19123798ed9956049757b2cc19ce9f28612cd05447c202c5aa8b83338e88,4
glom__spec_eval_core__hard3_001,compliant,f4ebd5e263b6208fefea400b78f1f0706774fb2a70124eb5802e4f71174b6ff3,4
h11__message_parse_core__001,compliant,1c747b8359e62b711f769264e4b98839a0e871ad6c3f32d4a8f7b126ab7fe914,2
h2__frame_parse_core__001,compliant,ae1f9aea089e632f013f21e62b784131e28428755d06ab572542df8980d9e0b9,3
