task_id,verdict,source_kind,source_repo_id,source_snapshot_id,source_revision_kind,source_status,package_validation,contract,no_hint,full_repository,autonomous_workflow,v2_oracle_isolation,functional_metric,compactness,v2_freeze,difficulty_recalibration,legacy_repo_files,legacy_repo_python_files,legacy_repo_upstream_tests,required_api_count,behavior_count,blockers
aiohttp__url_params_core__hard3_001,pass,external_oss,github__aio_libs__aiohttp,github__aio_libs__aiohttp__f9b96545c5f4,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,4,4,
alembic__revision_map_core__hard3_001,pass,external_oss,github__sqlalchemy__alembic,github__sqlalchemy__alembic__56669fdd1c0f,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,4,0,5,8,
apscheduler__cron_trigger_core__hard3_001,pass,external_oss,github__agronholm__apscheduler,github__agronholm__apscheduler__8b02f96b57dc,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,7,4,0,1,4,
arrow__parse_format_core__001,pass,external_oss,github__arrow_py__arrow,github__arrow_py__arrow__c130ffb9980a,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,11,10,0,2,5,
astroid__nodes_core__001,pass,external_oss,github__pycqa__astroid,github__pycqa__astroid__d140cd4da9d6,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,155,154,1,5,5,
attrs__validators_core__001,pass,external_oss,github__python_attrs__attrs,github__python_attrs__attrs__48bfb491ee6a,tag_or_version,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,32,19,0,4,6,
babel__plural_core__001,pass,external_oss,github__python_babel__babel,github__python_babel__babel__daa7160174ce,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,828,23,0,2,4,
bidict__bidirectional_map_core__001,pass,external_oss,github__jab__bidict,github__jab__bidict__dbbb0ca3e3ea,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,86,19,1,7,6,
bleach__sanitize_core__001,pass,external_oss,github__mozilla__bleach,github__mozilla__bleach__985ad60b8e4f,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,94,76,0,5,5,
boltons__iterutils_core__001,pass,external_oss,github__mahmoud__boltons,github__mahmoud__boltons__a4adb0d5e558,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,9,8,0,9,7,
build__pyproject_backend_core__hard3_001,pass,external_oss,github__pypa__build,github__pypa__build__0dd08861015a,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,6,3,0,4,3,
cachetools__cache_eviction_core__001,pass,external_oss,github__tkem__cachetools,github__tkem__cachetools__b6ff34e99c6f,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,43,20,13,6,6,
cattrs__structure_core__001,pass,external_oss,github__python_attrs__cattrs,github__python_attrs__cattrs__5f60dbb75a07,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,142,73,36,5,6,
celery__signal_dispatch_core__hard3_001,pass,external_oss,github__celery__celery,github__celery__celery__ca877f3bafb2,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,6,3,0,1,5,
cerberus__schema_validate_core__001,pass,external_oss,github__pyeve__cerberus,github__pyeve__cerberus__f94b31d35afd,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,65,23,11,3,5,
chameleon__template_compile_core__001,pass,external_oss,github__malthe__chameleon,github__malthe__chameleon__4718452f9233,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,31,30,0,2,5,
click__lazy_command_core__hard3_001,pass,external_oss,github__pallets__click,github__pallets__click__eadb3ec6941c,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,3,4,
click__option_parser__001,pass,external_oss,github__pallets__click,github__pallets__click__a7cce6785c62,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,33,16,0,1,6,
configobj__roundtrip_config_core__001,pass,external_oss,github__diffsk__configobj,github__diffsk__configobj__38e58dce2418,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,12,9,3,5,6,
cookiecutter__repo_finder_core__hard3_001,pass,external_oss,github__cookiecutter__cookiecutter,github__cookiecutter__cookiecutter__4a97d92d7fa3,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,4,4,
coverage__config_merge_core__001,pass,external_oss,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,404,171,39,2,5,
coverage__glob_matcher_core__001,pass,external_oss,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,404,171,39,4,5,
coverage__path_remap_core__001,pass,external_oss,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,404,171,39,2,6,
coverage__report_core__001,pass,external_oss,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,404,171,39,5,5,
coverage__source_selection_core__001,pass,external_oss,github__coveragepy__coveragepy,github__coveragepy__coveragepy__e426d54694bd,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,404,171,39,1,5,
croniter__cron_parse_core__001,pass,external_oss,github__pallets_eco__croniter,github__pallets_eco__croniter__c013dd29183a,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,10,9,5,5,6,
dataclasses_json__serde_core__001,pass,external_oss,github__lidatong__dataclasses_json,github__lidatong__dataclasses_json__3c5b2884e083,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,51,39,25,8,7,
dateutil__zone_resolver_core__hard3_001,pass,external_oss,github__dateutil__dateutil,github__dateutil__dateutil__908960127252,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,4,4,
deepdiff__deep_compare_core__001,pass,external_oss,github__qlustered__deepdiff,github__qlustered__deepdiff__94c962c3cc12,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,51,22,0,3,4,
diskcache__eviction_policy_core__hard3_001,pass,external_oss,github__grantjenks__python_diskcache,github__grantjenks__python_diskcache__0ac33411f2a9,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,1,4,
distlib__wheel_metadata_core__hard3_001,pass,external_oss,github__pypa__distlib,github__pypa__distlib__e71700d90bff,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,8,5,0,4,4,
dynaconf__settings_merge_core__001,pass,external_oss,github__dynaconf__dynaconf,github__dynaconf__dynaconf__038e0439fdf2,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,136,130,1,2,5,
email_validator__validate_core__001,pass,external_oss,github__joshdata__python_email_validator,github__joshdata__python_email_validator__e49b867521a5,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,28,14,5,5,9,
environs__typed_env_core__001,pass,external_oss,github__sloria__environs,github__sloria__environs__562bcbac41b7,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,31,15,1,7,8,
faker__provider_core__001,pass,external_oss,github__joke2k__faker,github__joke2k__faker__2d3753ae9184,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,727,725,0,1,4,
flake8__plugin_options_core__hard3_001,pass,external_oss,github__pycqa__flake8,github__pycqa__flake8__4f658626a87a,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,8,6,0,5,4,
fs__url_opener_core__hard3_001,pass,external_oss,github__pyfilesystem__pyfilesystem2,github__pyfilesystem__pyfilesystem2__317adb352ae7,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,5,3,0,5,4,
fsspec__url_chain_core__hard3_001,pass,external_oss,github__fsspec__filesystem_spec,github__fsspec__filesystem_spec__49231b1c487c,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,3,4,
glom__spec_eval_core__hard3_001,pass,external_oss,github__mahmoud__glom,github__mahmoud__glom__2250f02139ca,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,4,5,
h11__message_parse_core__001,pass,external_oss,github__python_hyper__h11,github__python_hyper__h11__5c23411f14fa,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,46,22,18,9,6,
h2__frame_parse_core__001,pass,external_oss,github__python_hyper__h2,github__python_hyper__h2__bbdbf7654624,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,18,15,0,4,5,
hatch__project_metadata_core__hard3_001,pass,external_oss,github__pypa__hatch,github__pypa__hatch__1c66b30e80a7,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,3,1,0,3,4,
httpx__request_model_core__001,pass,external_oss,github__encode__httpx,github__encode__httpx__3fdce099a597,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,26,24,0,7,7,
humanize__naturaltime_core__001,pass,external_oss,github__python_humanize__humanize,github__python_humanize__humanize__7edd04a349f2,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,80,11,0,5,5,
importlib_metadata__entry_points_core__001,pass,external_oss,github__python__importlib_metadata,github__python__importlib_metadata__ba1c0026121e,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,14,13,0,4,6,
importlib_resources__traversable_tree_core__hard3_001,pass,external_oss,github__python__importlib_resources,github__python__importlib_resources__001958068578,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,8,6,0,5,8,
installer__wheel_record_core__hard3_001,pass,external_oss,github__pypa__installer,github__pypa__installer__648a0b9a91d0,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,4,2,0,3,4,
intervaltree__interval_tree_core__001,pass,external_oss,github__chaimleib__intervaltree,github__chaimleib__intervaltree__9741eb324c97,git_commit,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,62,47,46,2,6,
isodate__duration_parse_core__001,pass,external_oss,github__gweis__isodate,github__gweis__isodate__f4373f2cf435,installed_snapshot,ready,pass,pass,pass,pass,pass,pass,pass,pass,pass,empirical_label_pending_first_v2_baseline;not_an_admission_gate,17,17,0,5,5,
