task_id,pass,validation_pass,source_pass,workspace_pass,contract_pass,capsule_pass,compactness_pass,split_pass,issues
aiohttp__url_params_core__hard3_001,True,True,True,True,True,True,True,True,
alembic__revision_map_core__hard3_001,True,True,True,True,True,True,True,True,
apscheduler__cron_trigger_core__hard3_001,True,True,True,True,True,True,True,True,
arrow__parse_format_core__001,True,True,True,True,True,True,True,True,
astroid__nodes_core__001,True,True,True,True,True,True,True,True,
attrs__validators_core__001,True,True,True,True,True,True,True,True,
babel__plural_core__001,True,True,True,True,True,True,True,True,
bidict__bidirectional_map_core__001,True,True,True,True,True,True,True,True,
bleach__sanitize_core__001,True,True,True,True,True,True,True,True,
blinker__signal_registry_core__001,True,True,True,True,True,True,True,True,
boltons__iterutils_core__001,True,True,True,True,True,True,True,True,
build__pyproject_backend_core__hard3_001,True,True,True,True,True,True,True,True,
cachetools__cache_eviction_core__001,True,True,True,True,True,True,True,True,
cattrs__structure_core__001,True,True,True,True,True,True,True,True,
celery__signal_dispatch_core__hard3_001,True,True,True,True,True,True,True,True,
cerberus__schema_validate_core__001,True,True,True,True,True,True,True,True,
chameleon__template_compile_core__001,True,True,True,True,True,True,True,True,
click__lazy_command_core__hard3_001,True,True,True,True,True,True,True,True,
click__option_parser__001,True,True,True,True,True,True,True,True,
configobj__roundtrip_config_core__001,True,True,True,True,True,True,True,True,
cookiecutter__repo_finder_core__hard3_001,True,True,True,True,True,True,True,True,
coverage__config_merge_core__001,True,True,True,True,True,True,True,True,
coverage__glob_matcher_core__001,True,True,True,True,True,True,True,True,
coverage__path_remap_core__001,True,True,True,True,True,True,True,True,
coverage__report_core__001,True,True,True,True,True,True,True,True,
coverage__source_selection_core__001,True,True,True,True,True,True,True,True,
croniter__cron_parse_core__001,True,True,True,True,True,True,True,True,
dataclasses_json__serde_core__001,True,True,True,True,True,True,True,True,
dateutil__zone_resolver_core__hard3_001,True,True,True,True,True,True,True,True,
decorator__signature_preserving_core__001,True,True,True,True,True,True,True,True,
deepdiff__deep_compare_core__001,True,True,True,True,True,True,True,True,
diskcache__eviction_policy_core__hard3_001,True,True,True,True,True,True,True,True,
distlib__wheel_metadata_core__hard3_001,True,True,True,True,True,True,True,True,
dynaconf__settings_merge_core__001,True,True,True,True,True,True,True,True,
