task_id,release_group,lift_type,primary_coupling,test_count,assertion_count,strict_valid,strict_error_count,undeclared_api_count,mapping_issue_count,behavior_contract_issue_count
aiohttp__url_params_core__hard3_001,frozen_python150,Adapted,,5,10,True,0,0,0,0
alembic__revision_map_core__hard3_001,frozen_python150,Adapted,,10,36,True,0,0,0,0
anytree__tree_resolve_render_core__001,external50,Composite,data_model_coupling,10,22,True,0,1,0,2
apscheduler__cron_trigger_core__hard3_001,frozen_python150,Adapted,,4,5,True,0,0,0,0
arrow__parse_format_core__001,frozen_python150,Adapted,,10,23,True,0,1,0,0
astroid__nodes_core__001,frozen_python150,Adapted,,5,17,True,0,0,0,0
attrs__validators_core__001,frozen_python150,Direct,,7,12,False,10,2,0,0
automat__methodical_workflow_core__001,external50,Composite,framework_coupling,6,7,True,0,1,0,2
babel__plural_core__001,frozen_python150,Adapted,,5,20,False,1,1,0,0
bidict__bidirectional_map_core__001,frozen_python150,Direct,,10,22,True,0,1,0,0
bleach__sanitize_core__001,frozen_python150,Adapted,,10,16,True,0,1,0,0
blinker__signal_registry_core__001,frozen_python150,Direct,,5,12,True,0,0,0,1
boltons__iterutils_core__001,frozen_python150,Adapted,,15,28,True,0,1,0,0
boolean_py__expr_simplify_core__001,external50,Composite,parser_state_coupling,8,18,True,0,1,0,2
build__pyproject_backend_core__hard3_001,frozen_python150,Adapted,,4,8,True,0,0,0,0
cachecontrol__heuristic_store_core__001,external50,Composite,data_model_coupling,9,17,True,0,1,0,2
cacheout__ttl_policy_core__001,external50,Direct,config_environment_coupling,6,12,True,0,1,0,2
cachetools__cache_eviction_core__001,frozen_python150,Direct,,11,39,True,0,1,0,0
cachier__memoize_backend_core__001,external50,Composite,third_party_dependency_coupling,7,15,True,0,1,0,2
cattrs__structure_core__001,frozen_python150,Direct,,10,32,True,0,1,0,0
celery__signal_dispatch_core__hard3_001,frozen_python150,Adapted,,6,8,True,0,0,0,0
cerberus__schema_validate_core__001,frozen_python150,Direct,,9,26,True,0,1,0,0
chameleon__template_compile_core__001,frozen_python150,Adapted,,6,9,True,0,1,0,0
click__lazy_command_core__hard3_001,frozen_python150,Adapted,,5,9,True,0,0,0,0
click__option_parser__001,frozen_python150,Adapted,,4,19,True,0,0,0,0
configobj__roundtrip_config_core__001,frozen_python150,Direct,,10,24,True,0,1,0,0
configupdater__ini_roundtrip_core__001,external50,Adapted,config_environment_coupling,6,12,True,0,1,0,2
cookiecutter__repo_finder_core__hard3_001,frozen_python150,Composite,,5,11,True,0,0,0,0
