task_id,release_group,lift_type,primary_coupling,test_count,assertion_count,strict_valid,strict_error_count,undeclared_api_count,mapping_issue_count,behavior_contract_issue_count
bidict__bidirectional_map_core__001,frozen_python150,Direct,,11,30,True,0,1,0,0
dateparser__parse_settings_pipeline_core__001,external50,Composite,parser_state_coupling,9,16,True,0,1,0,0
distlib__wheel_metadata_core__hard3_001,frozen_python150,Adapted,,6,14,True,0,0,0,0
email_validator__validate_core__001,frozen_python150,Direct,,15,45,True,0,1,0,0
freezegun__freeze_time_core__001,external50,Adapted,config_environment_coupling,8,23,True,0,1,0,0
multidict__multidict_mutation_core__hard3_001,frozen_python150,Direct,,6,32,True,0,0,0,0
pendulum__parse_format_core__001,frozen_python150,Adapted,,16,79,True,0,1,0,0
pyjwt__encode_decode_core__001,external50,Adapted,data_model_coupling,8,13,True,0,1,0,0
python_dateutil__relativedelta_core__001,frozen_python150,Direct,,14,44,True,0,1,0,0
python_dateutil__rrule_core__001,frozen_python150,Direct,,13,42,True,0,1,0,0
ruamel_yaml__roundtrip_core__001,frozen_python150,Adapted,,9,24,True,0,1,0,0
unidiff__patch_hunk_core__001,external50,Composite,parser_state_coupling,8,32,True,0,2,0,0
wheel__metadata_normalize_core__hard3_001,frozen_python150,Adapted,,5,15,True,0,0,0,0
xmltodict__xml_parse_core__001,frozen_python150,Direct,,13,15,True,0,1,0,0
yarl__url_model_core__001,frozen_python150,Adapted,,18,45,True,0,1,0,0
