group,runs,tasks,formal_passes,pass_rate,pass_ci_low,pass_ci_high,public_pass_hidden_fail,hidden_failure_rate_given_public,hidden_pass_rate_observed,median_tokens,median_repeated_reads,repeat_read_affected_rate,runtime_probe_rate,dynamic_probe_rate,dynamic_recognition_rate,fresh_final_verification_rate,condensation_rate,model,split,dynamic_runtime_task
deepseek/deepseek-v4-flash | core100 | static,19,19,18,0.9473684210526315,0.7536078466345479,0.99064824750947,1,0.05263157894736842,0.9473684210526315,1473748.0,2.0,0.7368421052631579,1.0,0.05263157894736842,0.15789473684210525,0.7894736842105263,0.5789473684210527,deepseek/deepseek-v4-flash,core100,False
deepseek/deepseek-v4-flash | core100 | dynamic,81,81,65,0.8024691358024691,0.7029540686276727,0.8745927951749901,10,0.12987012987012986,0.8701298701298701,1584720.0,1.0,0.5679012345679012,0.9629629629629629,0.3333333333333333,0.6666666666666666,0.7160493827160493,0.5555555555555556,deepseek/deepseek-v4-flash,core100,True
deepseek/deepseek-v4-flash | hard50 | static,14,14,1,0.07142857142857142,0.012721886112291636,0.3146926955395781,11,0.9166666666666666,0.08333333333333333,1911806.5,2.0,0.7142857142857143,1.0,0.07142857142857142,0.35714285714285715,0.7857142857142857,0.6428571428571429,deepseek/deepseek-v4-flash,hard50,False
deepseek/deepseek-v4-flash | hard50 | dynamic,36,36,7,0.19444444444444445,0.09752972019453349,0.350283620635152,26,0.7878787878787878,0.21212121212121213,1704291.0,0.0,0.4722222222222222,0.9722222222222222,0.5833333333333334,0.8888888888888888,0.6388888888888888,0.4722222222222222,deepseek/deepseek-v4-flash,hard50,True
openai/Qwen3-Coder-30B-A3B-Instruct | core100 | static,19,19,5,0.2631578947368421,0.11806238339540162,0.48791968441070643,2,0.2857142857142857,0.38461538461538464,2214005.0,0.0,0.47368421052631576,0.9473684210526315,0.05263157894736842,0.10526315789473684,0.8421052631578947,0.8947368421052632,openai/Qwen3-Coder-30B-A3B-Instruct,core100,False
openai/Qwen3-Coder-30B-A3B-Instruct | core100 | dynamic,81,81,19,0.2345679012345679,0.15562381855614316,0.3375493417802955,33,0.6226415094339622,0.3225806451612903,1875597.0,1.0,0.5185185185185185,0.9382716049382716,0.2839506172839506,0.5185185185185185,0.9135802469135802,0.654320987654321,openai/Qwen3-Coder-30B-A3B-Instruct,core100,True
openai/Qwen3.6-27B-FP8 | core100 | static,19,19,12,0.631578947368421,0.4103915749815672,0.8085072762372616,0,0.0,1.0,1449775.0,2.0,0.6842105263157895,0.8421052631578947,0.05263157894736842,0.15789473684210525,0.9473684210526315,0.3684210526315789,openai/Qwen3.6-27B-FP8,core100,False
openai/Qwen3.6-27B-FP8 | core100 | dynamic,81,81,42,0.5185185185185185,0.4113545922111773,0.6240054198583734,9,0.17647058823529413,0.7368421052631579,1618604.0,2.0,0.5679012345679012,0.7037037037037037,0.13580246913580246,0.5555555555555556,0.8641975308641975,0.48148148148148145,openai/Qwen3.6-27B-FP8,core100,True
openai/Qwen3.6-27B-FP8 | hard50 | static,14,14,0,0.0,0.0,0.21531701192718142,11,1.0,0.0,1142935.5,1.0,0.5,0.7857142857142857,0.0,0.07142857142857142,0.7857142857142857,0.42857142857142855,openai/Qwen3.6-27B-FP8,hard50,False
openai/Qwen3.6-27B-FP8 | hard50 | dynamic,36,36,4,0.1111111111111111,0.04406568908741834,0.2531512901503632,26,0.8666666666666667,0.12903225806451613,709008.0,0.0,0.4722222222222222,0.6666666666666666,0.25,0.9166666666666666,0.6944444444444444,0.2222222222222222,openai/Qwen3.6-27B-FP8,hard50,True
openai/Qwen3.6-35B-A3B-FP8 | core100 | static,19,19,11,0.5789473684210527,0.36275551465160105,0.7685837960796962,0,0.0,1.0,1779279.0,1.0,0.631578947368421,0.6842105263157895,0.0,0.10526315789473684,0.7894736842105263,0.5789473684210527,openai/Qwen3.6-35B-A3B-FP8,core100,False
openai/Qwen3.6-35B-A3B-FP8 | core100 | dynamic,81,81,38,0.4691358024691358,0.3643319191569785,0.5767347273937701,6,0.13636363636363635,0.6909090909090909,1714484.0,1.0,0.5185185185185185,0.7407407407407407,0.20987654320987653,0.691358024691358,0.8271604938271605,0.5555555555555556,openai/Qwen3.6-35B-A3B-FP8,core100,True
openai/Qwen3.6-35B-A3B-FP8 | hard50 | static,14,14,0,0.0,0.0,0.21531701192718142,10,1.0,0.0,1342504.5,2.0,0.5714285714285714,0.7857142857142857,0.0,0.07142857142857142,0.7857142857142857,0.5,openai/Qwen3.6-35B-A3B-FP8,hard50,False
openai/Qwen3.6-35B-A3B-FP8 | hard50 | dynamic,36,36,3,0.08333333333333333,0.0287480892712918,0.21827010276918848,28,0.9032258064516129,0.08823529411764706,1170522.5,2.0,0.6666666666666666,0.75,0.3333333333333333,0.8611111111111112,0.8888888888888888,0.3611111111111111,openai/Qwen3.6-35B-A3B-FP8,hard50,True
