earliest_failure_stage,primary_hypothesis,failure_subtype,failures,median_tokens,median_repeated_reads,models,tasks,share_of_failures,success_rate
dependency_discovery,H2,verification,85,1856717.0,2.0,4,49,0.26153846153846155,0.0
implementation,H5,verification,71,1286141.0,1.0,4,44,0.21846153846153846,0.0
evaluator_or_environment,H8,none,62,2722537.0,3.0,4,23,0.19076923076923077,0.0
dynamic_semantics,H3,capability_or_implementation,37,1094500.0,0.0,4,21,0.11384615384615385,0.0
budget_exhaustion,H7,exploration_policy_or_budget,17,4377780.0,4.0,3,17,0.052307692307692305,0.0
boundary_recovery,H4,verification,15,2200698.0,2.0,4,12,0.046153846153846156,0.0
budget_exhaustion,H7,workflow_failure,14,312369.0,0.5,3,14,0.043076923076923075,0.0
implementation,H5,none,9,2463546.0,1.0,2,9,0.027692307692307693,0.0
localization,H1,none,5,166556.0,0.0,3,4,0.015384615384615385,0.0
dynamic_semantics,H3,exploration_policy,4,2573681.5,2.5,2,4,0.012307692307692308,0.0
dynamic_semantics,H3,memory_state_management,2,2031538.5,2.5,2,2,0.006153846153846154,0.0
verification,H6,implementation,2,3402378.0,2.5,1,2,0.006153846153846154,0.0
budget_exhaustion,H7,none,1,4634141.0,0.0,1,1,0.003076923076923077,0.0
unclear,unclear,none,1,4976778.0,0.0,1,1,0.003076923076923077,0.0
