feature_family,tasks,mean_models_solved,mean_solve_fraction,bootstrap_low,bootstrap_high,median_models_solved
cache_retry_policy,8,2.5,0.625,0.375,0.84375,3.0
protocol_state_transition,9,2.111111111111111,0.5277777777777778,0.3888888888888889,0.6666666666666666,2.0
serialize_format_render,19,2.0526315789473686,0.5131578947368421,0.39473684210526316,0.631578947368421,2.0
algorithm_data_structure,11,2.0,0.5,0.29545454545454547,0.6818181818181818,3.0
parse_tokenize_decode,31,1.7741935483870968,0.4435483870967742,0.33064516129032256,0.5564516129032258,2.0
workflow_session_orchestration,5,1.6,0.4,0.1,0.7,2.0
config_resolve_discover,18,1.3888888888888888,0.3472222222222222,0.20833333333333334,0.4861111111111111,1.0
registry_plugin_dispatch,22,1.2272727272727273,0.3068181818181818,0.1590909090909091,0.45454545454545453,0.5
validate_normalize_construct,15,1.1333333333333333,0.2833333333333333,0.16666666666666666,0.4166666666666667,1.0
resource_metadata_loading,12,1.0,0.25,0.08333333333333333,0.4583333333333333,0.0
