model,model_short,gate,gate_order,passed,assigned,rate
DeepSeek V4 Flash,DeepSeek,Build,0,144,150,0.96
DeepSeek V4 Flash,DeepSeek,Public,1,120,150,0.8
DeepSeek V4 Flash,DeepSeek,Hidden,2,106,150,0.7066666666666667
DeepSeek V4 Flash,DeepSeek,Isolation,3,144,150,0.96
DeepSeek V4 Flash,DeepSeek,Functional,4,99,150,0.66
Qwen3.5 122B,Qwen3.5,Build,0,150,150,1.0
Qwen3.5 122B,Qwen3.5,Public,1,90,150,0.6
Qwen3.5 122B,Qwen3.5,Hidden,2,69,150,0.46
Qwen3.5 122B,Qwen3.5,Isolation,3,148,150,0.9866666666666667
Qwen3.5 122B,Qwen3.5,Functional,4,59,150,0.3933333333333333
Qwen3.6 35B,Qwen3.6,Build,0,137,150,0.9133333333333333
Qwen3.6 35B,Qwen3.6,Public,1,85,150,0.5666666666666667
Qwen3.6 35B,Qwen3.6,Hidden,2,64,150,0.4266666666666667
Qwen3.6 35B,Qwen3.6,Isolation,3,135,150,0.9
Qwen3.6 35B,Qwen3.6,Functional,4,59,150,0.3933333333333333
GPT-OSS 120B,GPT-OSS,Build,0,134,150,0.8933333333333333
GPT-OSS 120B,GPT-OSS,Public,1,66,150,0.44
GPT-OSS 120B,GPT-OSS,Hidden,2,32,150,0.21333333333333335
GPT-OSS 120B,GPT-OSS,Isolation,3,130,150,0.8666666666666667
GPT-OSS 120B,GPT-OSS,Functional,4,27,150,0.18
