lift_type,models_solved,tasks,lift_total,share
Adapted,0,26,76,0.34210526315789475
Adapted,1,19,76,0.25
Adapted,2,14,76,0.18421052631578946
Adapted,3,12,76,0.15789473684210525
Adapted,4,5,76,0.06578947368421052
Composite,0,10,18,0.5555555555555556
Composite,1,0,18,0.0
Composite,2,6,18,0.3333333333333333
Composite,3,2,18,0.1111111111111111
Composite,4,0,18,0.0
Direct,0,6,56,0.10714285714285714
Direct,1,10,56,0.17857142857142858
Direct,2,13,56,0.23214285714285715
Direct,3,21,56,0.375
Direct,4,6,56,0.10714285714285714
