task_id,DeepSeek,Qwen3.5,Qwen3.6,GPT-OSS,models_solved,solve_fraction,lift_type,feature_family,entanglement
aiohttp__url_params_core__hard3_001,False,False,False,False,0,0.0,Adapted,validate_normalize_construct,data_model_coupling
alembic__revision_map_core__hard3_001,False,False,False,False,0,0.0,Adapted,algorithm_data_structure,data_model_coupling
apscheduler__cron_trigger_core__hard3_001,True,False,False,False,1,0.25,Adapted,protocol_state_transition,parser_state_coupling
arrow__parse_format_core__001,True,True,False,False,2,0.5,Adapted,parse_tokenize_decode,parser_state_coupling
astroid__nodes_core__001,False,False,False,False,0,0.0,Adapted,parse_tokenize_decode,data_model_coupling
attrs__validators_core__001,True,False,True,False,2,0.5,Direct,validate_normalize_construct,data_model_coupling
babel__plural_core__001,True,True,True,False,3,0.75,Adapted,cache_retry_policy,third_party_dependency_coupling
bidict__bidirectional_map_core__001,True,True,False,False,2,0.5,Direct,algorithm_data_structure,data_model_coupling
bleach__sanitize_core__001,False,True,True,True,3,0.75,Adapted,validate_normalize_construct,parser_state_coupling
blinker__signal_registry_core__001,True,True,True,False,3,0.75,Direct,registry_plugin_dispatch,framework_coupling
boltons__iterutils_core__001,True,True,True,False,3,0.75,Adapted,algorithm_data_structure,data_model_coupling
build__pyproject_backend_core__hard3_001,False,False,False,False,0,0.0,Adapted,validate_normalize_construct,data_model_coupling
cachetools__cache_eviction_core__001,True,True,True,True,4,1.0,Direct,cache_retry_policy,data_model_coupling
cattrs__structure_core__001,True,False,True,False,2,0.5,Direct,serialize_format_render,data_model_coupling
celery__signal_dispatch_core__hard3_001,False,False,False,False,0,0.0,Adapted,registry_plugin_dispatch,framework_coupling
cerberus__schema_validate_core__001,True,False,False,False,1,0.25,Direct,validate_normalize_construct,data_model_coupling
chameleon__template_compile_core__001,True,False,False,False,1,0.25,Adapted,serialize_format_render,parser_state_coupling
click__lazy_command_core__hard3_001,False,False,False,False,0,0.0,Adapted,registry_plugin_dispatch,framework_coupling
click__option_parser__001,True,False,False,False,1,0.25,Adapted,parse_tokenize_decode,framework_coupling
configobj__roundtrip_config_core__001,True,False,False,False,1,0.25,Direct,config_resolve_discover,config_environment_coupling
cookiecutter__repo_finder_core__hard3_001,False,False,False,False,0,0.0,Composite,config_resolve_discover,resource_coupling
coverage__config_merge_core__001,True,True,False,False,2,0.5,Adapted,config_resolve_discover,config_environment_coupling
coverage__glob_matcher_core__001,True,True,True,False,3,0.75,Direct,config_resolve_discover,resource_coupling
coverage__path_remap_core__001,True,True,False,False,2,0.5,Adapted,config_resolve_discover,resource_coupling
coverage__report_core__001,True,False,True,True,3,0.75,Adapted,serialize_format_render,config_environment_coupling
coverage__source_selection_core__001,True,False,True,False,2,0.5,Adapted,config_resolve_discover,config_environment_coupling
croniter__cron_parse_core__001,True,True,True,False,3,0.75,Direct,protocol_state_transition,parser_state_coupling
dataclasses_json__serde_core__001,True,True,False,False,2,0.5,Direct,serialize_format_render,data_model_coupling
dateutil__zone_resolver_core__hard3_001,False,False,False,False,0,0.0,Composite,resource_metadata_loading,resource_coupling
decorator__signature_preserving_core__001,False,False,False,False,0,0.0,Direct,workflow_session_orchestration,data_model_coupling
deepdiff__deep_compare_core__001,True,True,True,False,3,0.75,Direct,algorithm_data_structure,data_model_coupling
diskcache__eviction_policy_core__hard3_001,True,True,False,True,3,0.75,Composite,cache_retry_policy,resource_coupling
distlib__wheel_metadata_core__hard3_001,False,False,False,False,0,0.0,Adapted,resource_metadata_loading,resource_coupling
dynaconf__settings_merge_core__001,True,False,False,False,1,0.25,Adapted,config_resolve_discover,config_environment_coupling
email_validator__validate_core__001,True,True,True,False,3,0.75,Direct,parse_tokenize_decode,parser_state_coupling
environs__typed_env_core__001,True,True,True,False,3,0.75,Direct,config_resolve_discover,config_environment_coupling
faker__provider_core__001,True,True,True,False,3,0.75,Direct,resource_metadata_loading,resource_coupling
filelock__reentrant_lock_core__001,False,False,True,True,2,0.5,Adapted,workflow_session_orchestration,resource_coupling
flake8__plugin_options_core__hard3_001,False,False,False,False,0,0.0,Composite,registry_plugin_dispatch,framework_coupling
flask__route_dispatch_core__001,False,False,False,False,0,0.0,Adapted,registry_plugin_dispatch,framework_coupling
