model,label,split,Direct,Direct_passed,Direct_n,Direct_empty,Adapted,Adapted_passed,Adapted_n,Adapted_empty,Composite,Composite_passed,Composite_n,Composite_empty
deepseek-v4-pro,Pro,core100,51/53 (96.2%),51,53,0,41/44 (93.2%),41,44,0,2/3 (66.7%),2,3,0
deepseek-v4-pro,Pro,hard3,0/3 (0.0%),0,3,0,14/32 (43.8%),14,32,0,7/15 (46.7%),7,15,0
deepseek-v4-flash,Flash,core100,49/53 (92.5%),49,53,0,39/44 (88.6%),39,44,0,2/3 (66.7%),2,3,0
deepseek-v4-flash,Flash,hard3,1/3 (33.3%),1,3,0,12/32 (37.5%),12,32,0,5/15 (33.3%),5,15,0
gpt-5.6-luna,Luna,core100,44/53 (83.0%),44,53,2,36/44 (81.8%),36,44,2,2/3 (66.7%),2,3,0
gpt-5.6-luna,Luna,hard3,1/3 (33.3%),1,3,0,14/32 (43.8%),14,32,0,5/15 (33.3%),5,15,2
glm-5.3-flash,GLM,core100,40/53 (75.5%),40,53,8,22/44 (50.0%),22,44,12,0/3 (0.0%),0,3,1
glm-5.3-flash,GLM,hard3,0/3 (0.0%),0,3,0,2/32 (6.2%),2,32,15,4/15 (26.7%),4,15,2
qwen3.6-35b-a3b-fp8,Qwen,core100,31/53 (58.5%),31,53,8,22/44 (50.0%),22,44,7,2/3 (66.7%),2,3,0
qwen3.6-35b-a3b-fp8,Qwen,hard3,0/3 (0.0%),0,3,0,5/32 (15.6%),5,32,9,3/15 (20.0%),3,15,1
gpt-oss-120b,OSS,core100,15/53 (28.3%),15,53,0,9/44 (20.5%),9,44,0,1/3 (33.3%),1,3,0
gpt-oss-120b,OSS,hard3,1/3 (33.3%),1,3,0,7/32 (21.9%),7,32,2,3/15 (20.0%),3,15,0
pooled,pooled,core100,230/318 (72.3%),230,318,18,169/264 (64.0%),169,264,21,9/18 (50.0%),9,18,1
pooled,pooled,hard3,3/18 (16.7%),3,18,0,54/192 (28.1%),54,192,26,27/90 (30.0%),27,90,5
pooled_five,pooled_five,core100,190/265 (71.7%),190,265,10,147/220 (66.8%),147,220,9,9/15 (60.0%),9,15,0
pooled_five,pooled_five,hard3,3/15 (20.0%),3,15,0,52/160 (32.5%),52,160,11,23/75 (30.7%),23,75,3
