term,coef,std_err,z,p,or,fit
Intercept,2.02874,0.251231,8.07519,6.73741e-16,7.60447,all6
C(model)[T.GLM],-1.42728,0.225703,-6.32374,2.55309e-10,0.23996,all6
C(model)[T.Luna],-0.240392,0.204631,-1.17476,0.240091,0.78632,all6
C(model)[T.OSS],-2.55092,0.277216,-9.20189,3.51701e-20,0.0780102,all6
C(model)[T.Pro],0.303655,0.156605,1.93899,0.0525028,1.3548,all6
C(model)[T.Qwen],-1.59206,0.223656,-7.11833,1.09246e-12,0.203507,all6
"C(lift_type, Treatment(""Direct""))[T.Adapted]",-0.395339,0.267144,-1.47987,0.138907,0.673452,all6
"C(lift_type, Treatment(""Direct""))[T.Composite]",-0.423034,0.606991,-0.696936,0.485843,0.655056,all6
hard3,-1.90254,0.358031,-5.31391,1.07297e-07,0.149189,all6
Intercept,2.12545,0.3238,6.56406,5.23621e-11,8.37663,strong3
C(model)[T.Luna],-0.266624,0.227257,-1.17323,0.240705,0.765961,strong3
C(model)[T.Pro],0.334009,0.171506,1.9475,0.0514746,1.39656,strong3
"C(lift_type, Treatment(""Direct""))[T.Adapted]",-0.118206,0.450609,-0.262325,0.793071,0.888513,strong3
"C(lift_type, Treatment(""Direct""))[T.Composite]",-0.425185,0.71763,-0.592485,0.553526,0.653649,strong3
hard3,-2.38675,0.458594,-5.20449,1.94531e-07,0.0919282,strong3
Intercept,1.89383,0.249114,7.60225,2.91025e-14,6.64477,five_no_glm
C(model)[T.Luna],-0.236167,0.20103,-1.17478,0.240081,0.789649,five_no_glm
C(model)[T.OSS],-2.50943,0.27367,-9.16953,4.75088e-20,0.0813149,five_no_glm
C(model)[T.Pro],0.298879,0.154099,1.93952,0.0524378,1.34835,five_no_glm
C(model)[T.Qwen],-1.56302,0.221247,-7.06462,1.61062e-12,0.209502,five_no_glm
"C(lift_type, Treatment(""Direct""))[T.Adapted]",-0.201155,0.289934,-0.693796,0.48781,0.817786,five_no_glm
"C(lift_type, Treatment(""Direct""))[T.Composite]",-0.312816,0.637437,-0.49074,0.62361,0.731384,five_no_glm
hard3,-1.8897,0.392281,-4.81722,1.4557e-06,0.151117,five_no_glm
