task_id,copy_Flash,copy_Luna,diff,hard3,lift_type
attrs__validators_core__001,0.997147,0.149333,0.847814,False,Direct
babel__plural_core__001,0.980685,0.783259,0.197426,False,Adapted
bidict__bidirectional_map_core__001,0.989544,0.084691,0.904853,False,Direct
blinker__signal_registry_core__001,0.916933,0.11465,0.802283,False,Direct
boltons__iterutils_core__001,0.941263,0.158774,0.782489,False,Adapted
cachetools__cache_eviction_core__001,0.977444,0.746689,0.230755,False,Direct
cattrs__structure_core__001,0.995675,0.074866,0.920809,False,Direct
chameleon__template_compile_core__001,0.965252,0.963671,0.001581,False,Adapted
click__option_parser__001,0.998829,0.999532,-0.000703,False,Adapted
configobj__roundtrip_config_core__001,0.998665,0.999332,-0.000667,False,Direct
coverage__config_merge_core__001,0.873318,0.149254,0.724064,False,Adapted
coverage__glob_matcher_core__001,0.641026,0.140187,0.500839,False,Direct
coverage__report_core__001,0.839243,0.216,0.623243,False,Adapted
coverage__source_selection_core__001,0.836431,0.037915,0.798516,False,Adapted
dataclasses_json__serde_core__001,0.93495,0.041176,0.893774,False,Direct
diskcache__eviction_policy_core__hard3_001,0,0,0,True,Composite
distlib__wheel_metadata_core__hard3_001,0.037975,0.045977,-0.008002,True,Adapted
dynaconf__settings_merge_core__001,0.992825,0.067103,0.925722,False,Adapted
environs__typed_env_core__001,0.980519,0.142857,0.837662,False,Direct
faker__provider_core__001,0.995968,0.934668,0.0613,False,Direct
fsspec__url_chain_core__hard3_001,0.027613,0,0.027613,True,Adapted
h11__message_parse_core__001,0.995251,0.994547,0.000704,False,Direct
h2__frame_parse_core__001,0.27008,0.122931,0.147149,False,Adapted
httpx__request_model_core__001,0.960367,0.044231,0.916136,False,Adapted
humanize__naturaltime_core__001,0.941176,0.508711,0.432465,False,Direct
importlib_metadata__entry_points_core__001,0.812652,0.474684,0.337968,False,Direct
intervaltree__interval_tree_core__001,1,0.994866,0.005134,False,Direct
isodate__duration_parse_core__001,0.865885,0.733558,0.132327,False,Adapted
isort__settings_resolver_core__hard3_001,0.364821,0.022535,0.342286,True,Adapted
itsdangerous__timed_serializer_core__001,0.391813,0.086093,0.30572,False,Adapted
jinja2__compile_render_core__001,0.995744,0.994072,0.001672,False,Adapted
jinja2__filters_tests_core__001,0.986715,0.995403,-0.008688,False,Adapted
jinja2__lexer_parser_core__001,0.955941,0.263397,0.692544,False,Adapted
jinja2__loader_inheritance_core__001,0.98735,0.075294,0.912056,False,Adapted
json5__parse_core__001,0.993421,0.996664,-0.003243,False,Direct
json_logic__evaluator_core__hard3_001,0.823864,0.071856,0.752008,True,Direct
jsonpath_ng__expression_eval_core__001,0.995897,0.086799,0.909098,False,Direct
jsonpointer__resolve_core__001,1,0.463576,0.536424,False,Direct
jsonschema__validator_core__001,0.989706,0.057143,0.932563,False,Direct
lark__grammar_loader_core__001,0.998182,0.997806,0.000376,False,Direct
lark__visitor_transform_core__001,0.998987,0.99865,0.000337,False,Adapted
mako__lexer_expression_core__001,0.980451,0.261072,0.719379,False,Direct
markdown__extensions_core__001,0.993215,0.995215,-0.002,False,Adapted
markdown_it__commonmark_render__001,0.998187,0.997283,0.000904,False,Direct
marshmallow__schema_core__001,0.990346,0.967551,0.022795,False,Direct
msgpack__pack_unpack_core__001,0.96997,0.98873,-0.01876,False,Adapted
networkx__dag_topo_core__001,0.957999,0.113757,0.844242,False,Direct
packaging__requirement_marker_specifier__001,0.980157,0.975185,0.004972,False,Direct
parse__format_parser_core__001,0.837209,0.023622,0.813587,False,Direct
parso__python_parse_core__001,0.981686,0.967788,0.013898,False,Direct
passlib__hash_context_core__001,0.978429,0,0.978429,False,Direct
pathvalidate__sanitize_core__001,0.997394,0.04797,0.949424,False,Direct
phonenumbers__parse_format_core__001,0.98775,0.054441,0.933309,False,Direct
pluggy__hook_call_order__001,0.990182,0.191283,0.798899,False,Direct
pydantic_settings__env_source_core__001,0.942005,0.099432,0.842573,False,Adapted
pydantic_v1__validation_error_core__001,0.980552,0,0.980552,False,Adapted
pygments__formatter_core__001,0.980507,0.971226,0.009281,False,Direct
pyramid__configurator_action_core__hard3_001,0,0,0,True,Composite
pytest__fixture_resolve_core__001,0.097166,0.018405,0.078761,False,Composite
pytest__mark_expression_core__001,0.923345,0.876033,0.047312,False,Adapted
pytest__skipif_eval_core__001,0.333333,0.169492,0.163841,False,Composite
python_box__config_box_core__001,0.972119,0.087179,0.88494,False,Direct
python_dateutil__rrule_core__001,0.907784,0.950726,-0.042942,False,Direct
python_dotenv__env_parse_core__001,0.994163,0.275,0.719163,False,Direct
python_frontmatter__roundtrip_core__001,0.820669,0.599078,0.221591,False,Direct
python_multipart__form_parse_core__001,0.986496,0.95132,0.035176,False,Direct
pyyaml__safe_load_dump__001,0.993917,0.983128,0.010789,False,Adapted
redis__resp_parser_core__001,0.946328,0.383495,0.562833,False,Adapted
referencing__json_schema_refs_core__001,0.983871,0.158516,0.825355,False,Adapted
returns__result_pipeline_core__hard3_001,0.119048,0,0.119048,True,Adapted
rfc3986__uri_parse_core__001,0.988679,0.085041,0.903638,False,Adapted
ruamel_yaml__roundtrip_core__001,0.975122,0.977567,-0.002445,False,Adapted
schema__nested_validate_core__hard3_001,0.558252,0.017647,0.540605,True,Adapted
sortedcontainers__sorted_list_core__001,0.966102,0.143603,0.822499,False,Direct
sphinx__extension_registry_core__hard3_001,0.129213,0,0.129213,True,Composite
sqlalchemy__event_dispatch_core__hard3_001,0,0,0,True,Adapted
sqlparse__parse_format_core__001,0.980887,0.979884,0.001003,False,Adapted
sqlparse__parse_split_core__001,0.983516,0.981507,0.002009,False,Adapted
sqlparse__token_tree_core__001,0.983011,0.987867,-0.004856,False,Adapted
stevedore__extension_manager_core__hard3_001,0.463651,0.188889,0.274762,True,Composite
tabulate__table_format_core__001,1,0.989154,0.010846,False,Direct
tomlkit__roundtrip_document__001,0.969523,0.970425,-0.000902,False,Direct
trafaret__validation_rules_core__hard3_001,0.112903,0.015444,0.097459,True,Adapted
transitions__state_machine_core__hard3_001,0.181925,0.010676,0.171249,True,Adapted
urllib3__retry_backoff_core__001,0.948949,0.727829,0.22112,False,Direct
voluptuous__schema_validate_core__001,0.958027,0.070968,0.887059,False,Direct
websockets__handshake_parse_core__001,0.943396,0.444444,0.498952,False,Adapted
werkzeug__routing_core__001,0.935452,0.95225,-0.016798,False,Adapted
wheel__metadata_normalize_core__hard3_001,0.211864,0.044776,0.167088,True,Adapted
wsproto__frame_parse_core__001,0.967054,0.991379,-0.024325,False,Adapted
xmltodict__xml_parse_core__001,0.884298,0.358974,0.525324,False,Direct
yarl__url_model_core__001,0.995553,0.999446,-0.003893,False,Adapted
