task_id,copy_Pro,copy_Luna,diff,hard3,lift_type
attrs__validators_core__001,0.995667,0.149333,0.846334,False,Direct
babel__plural_core__001,0.920803,0.783259,0.137544,False,Adapted
bidict__bidirectional_map_core__001,0.988711,0.084691,0.90402,False,Direct
bleach__sanitize_core__001,0.99399,0.048485,0.945505,False,Adapted
blinker__signal_registry_core__001,0.578431,0.11465,0.463781,False,Direct
boltons__iterutils_core__001,0.586957,0.158774,0.428183,False,Adapted
cachetools__cache_eviction_core__001,0.978723,0.746689,0.232034,False,Direct
cattrs__structure_core__001,0.996992,0.074866,0.922126,False,Direct
chameleon__template_compile_core__001,0.967655,0.963671,0.003984,False,Adapted
click__option_parser__001,0.998923,0.999532,-0.000609,False,Adapted
configobj__roundtrip_config_core__001,0.999332,0.999332,0,False,Direct
coverage__config_merge_core__001,0.927665,0.149254,0.778411,False,Adapted
coverage__glob_matcher_core__001,0.829114,0.140187,0.688927,False,Direct
coverage__report_core__001,0.755747,0.216,0.539747,False,Adapted
coverage__source_selection_core__001,0.801572,0.037915,0.763657,False,Adapted
dataclasses_json__serde_core__001,0.945516,0.041176,0.90434,False,Direct
diskcache__eviction_policy_core__hard3_001,0,0,0,True,Composite
distlib__wheel_metadata_core__hard3_001,0.042553,0.045977,-0.003424,True,Adapted
dynaconf__settings_merge_core__001,0.920936,0.067103,0.853833,False,Adapted
environs__typed_env_core__001,0.909259,0.142857,0.766402,False,Direct
faker__provider_core__001,0.993606,0.934668,0.058938,False,Direct
fsspec__url_chain_core__hard3_001,0.085938,0,0.085938,True,Adapted
glom__spec_eval_core__hard3_001,0.95521,0,0.95521,True,Adapted
h11__message_parse_core__001,0.997279,0.994547,0.002732,False,Direct
h2__frame_parse_core__001,0.2666,0.122931,0.143669,False,Adapted
httpx__request_model_core__001,0.975224,0.044231,0.930993,False,Adapted
humanize__naturaltime_core__001,0.914807,0.508711,0.406096,False,Direct
importlib_metadata__entry_points_core__001,0.862745,0.474684,0.388061,False,Direct
intervaltree__interval_tree_core__001,0.979225,0.994866,-0.015641,False,Direct
isodate__duration_parse_core__001,0.904448,0.733558,0.17089,False,Adapted
isort__settings_resolver_core__hard3_001,0.24026,0.022535,0.217725,True,Adapted
itsdangerous__timed_serializer_core__001,0.271654,0.086093,0.185561,False,Adapted
jinja2__compile_render_core__001,0.989995,0.994072,-0.004077,False,Adapted
jinja2__filters_tests_core__001,0.986843,0.995403,-0.00856,False,Adapted
jinja2__lexer_parser_core__001,0.94879,0.263397,0.685393,False,Adapted
jinja2__loader_inheritance_core__001,0.995854,0.075294,0.92056,False,Adapted
json5__parse_core__001,0.995868,0.996664,-0.000796,False,Direct
jsonpath_ng__expression_eval_core__001,0.996137,0.086799,0.909338,False,Direct
jsonpointer__resolve_core__001,0.828571,0.463576,0.364995,False,Direct
jsonschema__validator_core__001,0.967844,0.057143,0.910701,False,Direct
lark__grammar_loader_core__001,0.998822,0.997806,0.001016,False,Direct
lark__visitor_transform_core__001,0.99865,0.99865,0,False,Adapted
mako__lexer_expression_core__001,0.977131,0.261072,0.716059,False,Direct
markdown__extensions_core__001,0.99497,0.995215,-0.000245,False,Adapted
markdown_it__commonmark_render__001,0.998187,0.997283,0.000904,False,Direct
marshmallow__schema_core__001,0.965955,0.967551,-0.001596,False,Direct
msgpack__pack_unpack_core__001,1,0.98873,0.01127,False,Adapted
networkx__dag_topo_core__001,0.406752,0.113757,0.292995,False,Direct
packaging__requirement_marker_specifier__001,0.984244,0.975185,0.009059,False,Direct
parse__format_parser_core__001,0.855263,0.023622,0.831641,False,Direct
parso__python_parse_core__001,0.983025,0.967788,0.015237,False,Direct
passlib__hash_context_core__001,0.956833,0,0.956833,False,Direct
pathvalidate__sanitize_core__001,0.997401,0.04797,0.949431,False,Direct
pendulum__parse_format_core__001,0.714754,0.145478,0.569276,False,Adapted
phonenumbers__parse_format_core__001,0.985205,0.054441,0.930764,False,Direct
pluggy__hook_call_order__001,0.997179,0.191283,0.805896,False,Direct
pydantic__field_validator_core__hard3_001,0.012821,0,0.012821,True,Adapted
pydantic_settings__env_source_core__001,0.969919,0.099432,0.870487,False,Adapted
pydantic_v1__validation_error_core__001,0.981006,0,0.981006,False,Adapted
pygments__formatter_core__001,0.957283,0.971226,-0.013943,False,Direct
pyramid__configurator_action_core__hard3_001,0.141026,0,0.141026,True,Composite
pytest__fixture_resolve_core__001,0.165354,0.018405,0.146949,False,Composite
pytest__mark_expression_core__001,0.960289,0.876033,0.084256,False,Adapted
pytest__skipif_eval_core__001,0.451613,0.169492,0.282121,False,Composite
python_box__config_box_core__001,0.975162,0.087179,0.887983,False,Direct
python_dateutil__relativedelta_core__001,0.96558,0.972973,-0.007393,False,Direct
python_dateutil__rrule_core__001,0.951018,0.950726,0.000292,False,Direct
python_dotenv__env_parse_core__001,0.992218,0.275,0.717218,False,Direct
python_frontmatter__roundtrip_core__001,0.88535,0.599078,0.286272,False,Direct
python_multipart__form_parse_core__001,0.983051,0.95132,0.031731,False,Direct
pyyaml__safe_load_dump__001,0.990727,0.983128,0.007599,False,Adapted
redis__resp_parser_core__001,0.969867,0.383495,0.586372,False,Adapted
referencing__json_schema_refs_core__001,0.983025,0.158516,0.824509,False,Adapted
returns__result_pipeline_core__hard3_001,0.038462,0,0.038462,True,Adapted
rfc3986__uri_parse_core__001,0.978125,0.085041,0.893084,False,Adapted
ruamel_yaml__roundtrip_core__001,0.977277,0.977567,-0.00029,False,Adapted
sortedcontainers__sorted_list_core__001,0.986571,0.143603,0.842968,False,Direct
sphinx__extension_registry_core__hard3_001,0.179487,0,0.179487,True,Composite
sqlalchemy__event_dispatch_core__hard3_001,0.022901,0,0.022901,True,Adapted
sqlparse__parse_format_core__001,0.978579,0.979884,-0.001305,False,Adapted
sqlparse__parse_split_core__001,0.982135,0.981507,0.000628,False,Adapted
sqlparse__token_tree_core__001,0.979272,0.987867,-0.008595,False,Adapted
stevedore__extension_manager_core__hard3_001,0.401961,0.188889,0.213072,True,Composite
tabulate__table_format_core__001,1,0.989154,0.010846,False,Direct
tenacity__retry_state_core__hard3_001,0.387342,0.21978,0.167562,True,Adapted
tomlkit__roundtrip_document__001,0.969523,0.970425,-0.000902,False,Direct
trafaret__validation_rules_core__hard3_001,0.015,0.015444,-0.000444,True,Adapted
transitions__state_machine_core__hard3_001,0.348673,0.010676,0.337997,True,Adapted
typer__command_parser_core__001,0.300542,0.009242,0.2913,False,Direct
urllib3__retry_backoff_core__001,0.899263,0.727829,0.171434,False,Direct
voluptuous__schema_validate_core__001,0.897772,0.070968,0.826804,False,Direct
websockets__handshake_parse_core__001,0.925081,0.444444,0.480637,False,Adapted
werkzeug__routing_core__001,0.91283,0.95225,-0.03942,False,Adapted
wheel__metadata_normalize_core__hard3_001,0.454545,0.044776,0.409769,True,Adapted
wsproto__frame_parse_core__001,0.987179,0.991379,-0.0042,False,Adapted
xmltodict__xml_parse_core__001,0.718023,0.358974,0.359049,False,Direct
yarl__url_model_core__001,0.995553,0.999446,-0.003893,False,Adapted
