task_id,pair,hard3,lift_type,pro_stage,flash_stage,pro_cause,flash_cause,pro_eligibility,flash_eligibility
bleach__sanitize_core__001,pro_wins,False,Adapted,functional_pass,hidden_failure,,packaging_modularization,,valid_agent_evidence
dateutil__zone_resolver_core__hard3_001,pro_wins,True,Composite,functional_pass,hidden_failure,,contract_api_completion,,valid_agent_evidence
glom__spec_eval_core__hard3_001,pro_wins,True,Adapted,functional_pass,hidden_failure,,behavior_drift,,valid_agent_evidence
installer__wheel_record_core__hard3_001,pro_wins,True,Adapted,functional_pass,hidden_failure,,contract_api_completion,,valid_agent_evidence
jupyter_server__extension_config_core__hard3_001,pro_wins,True,Composite,functional_pass,hidden_failure,,behavior_drift,,valid_agent_evidence
pendulum__parse_format_core__001,pro_wins,False,Adapted,functional_pass,public_failure,,contract_api_completion,,valid_agent_evidence
pydantic__field_validator_core__hard3_001,pro_wins,True,Adapted,functional_pass,hidden_failure,,behavior_drift,,valid_agent_evidence
python_dateutil__relativedelta_core__001,pro_wins,False,Direct,functional_pass,public_failure,,contract_api_completion,,valid_agent_evidence
tenacity__retry_state_core__hard3_001,pro_wins,True,Adapted,functional_pass,hidden_failure,,behavior_drift,,valid_agent_evidence
typer__command_parser_core__001,pro_wins,False,Direct,functional_pass,isolation_failure,,packaging_modularization,,valid_agent_evidence
json_logic__evaluator_core__hard3_001,flash_wins,True,Direct,hidden_failure,functional_pass,contract_api_completion,,valid_agent_evidence,
schema__nested_validate_core__hard3_001,flash_wins,True,Adapted,hidden_failure,functional_pass,behavior_drift,,valid_agent_evidence,
virtualenv__interpreter_spec_core__hard3_001,flash_wins,True,Adapted,public_failure,functional_pass,behavior_drift,,valid_agent_evidence,
