task_id,construction,hard3,lift_type,feature_family,pass_Pro,stage_Pro,pass_Flash,stage_Flash,pass_Luna,stage_Luna,pass_Qwen,stage_Qwen,pass_OSS,stage_OSS,num_models_solved,n_models,solved_over_n,difficulty_level
aiohttp__url_params_core__hard3_001,hard3,True,Adapted,validate_normalize_construct,0,hidden_failure,0,hidden_failure,1,functional_pass,0,hidden_failure,0,hidden_failure,1,5,1/5,hard_tail
alembic__revision_map_core__hard3_001,hard3,True,Adapted,algorithm_data_structure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,5,0/5,unsolved
apscheduler__cron_trigger_core__hard3_001,hard3,True,Adapted,protocol_state_transition,1,functional_pass,1,functional_pass,0,public_failure,0,public_failure,1,functional_pass,3,5,3/5,mixed
arrow__parse_format_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,0,missing_submission,0,public_failure,0,public_failure,2,5,2/5,hard_tail
astroid__nodes_core__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,0,hidden_failure,0,hidden_failure,0,public_failure,2,5,2/5,hard_tail
attrs__validators_core__001,core100,False,Direct,validate_normalize_construct,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,0,public_failure,3,5,3/5,mixed
babel__plural_core__001,core100,False,Adapted,cache_retry_policy,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,hidden_failure,3,5,3/5,mixed
bidict__bidirectional_map_core__001,core100,False,Direct,algorithm_data_structure,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,1,functional_pass,4,5,4/5,easy
bleach__sanitize_core__001,core100,False,Adapted,validate_normalize_construct,1,functional_pass,0,hidden_failure,1,functional_pass,0,build_failure,0,public_failure,2,5,2/5,hard_tail
blinker__signal_registry_core__001,core100,False,Direct,registry_plugin_dispatch,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,build_failure,4,5,4/5,easy
boltons__iterutils_core__001,core100,False,Adapted,algorithm_data_structure,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,5,5,5/5,solved_by_all
build__pyproject_backend_core__hard3_001,hard3,True,Adapted,validate_normalize_construct,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,5,0/5,unsolved
cachetools__cache_eviction_core__001,core100,False,Direct,cache_retry_policy,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,5,5,5/5,solved_by_all
cattrs__structure_core__001,core100,False,Direct,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,4,5,4/5,easy
celery__signal_dispatch_core__hard3_001,hard3,True,Adapted,registry_plugin_dispatch,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,5,0/5,unsolved
cerberus__schema_validate_core__001,core100,False,Direct,validate_normalize_construct,1,functional_pass,1,functional_pass,0,hidden_failure,0,hidden_failure,0,public_failure,2,5,2/5,hard_tail
chameleon__template_compile_core__001,core100,False,Adapted,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,0,missing_submission,0,build_failure,3,5,3/5,mixed
click__lazy_command_core__hard3_001,hard3,True,Adapted,registry_plugin_dispatch,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,5,0/5,unsolved
click__option_parser__001,core100,False,Adapted,parse_tokenize_decode,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,0,public_failure,3,5,3/5,mixed
configobj__roundtrip_config_core__001,core100,False,Direct,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,0,public_failure,3,5,3/5,mixed
cookiecutter__repo_finder_core__hard3_001,hard3,True,Composite,config_resolve_discover,0,public_failure,0,public_failure,0,missing_submission,0,public_failure,0,public_failure,0,5,0/5,unsolved
coverage__config_merge_core__001,core100,False,Adapted,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,4,5,4/5,easy
coverage__glob_matcher_core__001,core100,False,Direct,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,5,5,5/5,solved_by_all
coverage__path_remap_core__001,core100,False,Adapted,config_resolve_discover,1,functional_pass,1,functional_pass,0,build_failure,1,functional_pass,1,functional_pass,4,5,4/5,easy
coverage__report_core__001,core100,False,Adapted,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,0,public_failure,3,5,3/5,mixed
coverage__source_selection_core__001,core100,False,Adapted,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,0,hidden_failure,3,5,3/5,mixed
croniter__cron_parse_core__001,core100,False,Direct,protocol_state_transition,1,functional_pass,1,functional_pass,0,public_failure,0,build_failure,0,public_failure,2,5,2/5,hard_tail
dataclasses_json__serde_core__001,core100,False,Direct,serialize_format_render,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,4,5,4/5,easy
dateutil__zone_resolver_core__hard3_001,hard3,True,Composite,resource_metadata_loading,1,functional_pass,0,hidden_failure,0,missing_submission,0,public_failure,0,hidden_failure,1,5,1/5,hard_tail
decorator__signature_preserving_core__001,core100,False,Direct,workflow_session_orchestration,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,5,0/5,unsolved
deepdiff__deep_compare_core__001,core100,False,Direct,algorithm_data_structure,1,functional_pass,1,functional_pass,0,missing_submission,0,build_failure,0,public_failure,2,5,2/5,hard_tail
diskcache__eviction_policy_core__hard3_001,hard3,True,Composite,cache_retry_policy,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,5,5,5/5,solved_by_all
distlib__wheel_metadata_core__hard3_001,hard3,True,Adapted,resource_metadata_loading,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,5,5,5/5,solved_by_all
dynaconf__settings_merge_core__001,core100,False,Adapted,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,0,public_failure,3,5,3/5,mixed
email_validator__validate_core__001,core100,False,Direct,parse_tokenize_decode,1,functional_pass,1,functional_pass,0,public_failure,1,functional_pass,0,isolation_failure,3,5,3/5,mixed
environs__typed_env_core__001,core100,False,Direct,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,1,functional_pass,5,5,5/5,solved_by_all
faker__provider_core__001,core100,False,Direct,resource_metadata_loading,1,functional_pass,1,functional_pass,1,functional_pass,0,public_failure,0,public_failure,3,5,3/5,mixed
filelock__reentrant_lock_core__001,core100,False,Adapted,workflow_session_orchestration,0,public_failure,0,public_failure,0,public_failure,0,missing_submission,0,public_failure,0,5,0/5,unsolved
flake8__plugin_options_core__hard3_001,hard3,True,Composite,registry_plugin_dispatch,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,5,0/5,unsolved
flask__route_dispatch_core__001,core100,False,Adapted,registry_plugin_dispatch,0,public_failure,0,public_failure,0,public_failure,0,public_failure,0,build_failure,0,5,0/5,unsolved
fs__url_opener_core__hard3_001,hard3,True,Adapted,registry_plugin_dispatch,1,functional_pass,1,functional_pass,0,public_failure,0,public_failure,0,public_failure,2,5,2/5,hard_tail
fsspec__url_chain_core__hard3_001,hard3,True,Adapted,config_resolve_discover,1,functional_pass,1,functional_pass,1,functional_pass,0,hidden_failure,0,public_failure,3,5,3/5,mixed
