model,passed,total,rate,wilson_95,display,wilson_display,group,empty,n_nonempty
deepseek-v4-pro,94,100,0.94,"[0.8752318455410406, 0.9722138760368118]",94/100 (94.0%),87.5–97.2%,core100,0,100
deepseek-v4-pro,21,50,0.42,"[0.2937500335471198, 0.5576655823142176]",21/50 (42.0%),29.4–55.8%,hard50,0,50
deepseek-v4-flash,90,100,0.9,"[0.8256343384950865, 0.9447708629393249]",90/100 (90.0%),82.6–94.5%,core100,0,100
deepseek-v4-flash,18,50,0.36,"[0.24138749651846741, 0.49858983123887307]",18/50 (36.0%),24.1–49.9%,hard50,0,50
gpt-5.6-luna,82,100,0.82,"[0.7333264161369926, 0.8829977450105364]",82/100 (82.0%),73.3–88.3%,core100,4,96
gpt-5.6-luna,20,50,0.4,"[0.27608389730256544, 0.5381856225241064]",20/50 (40.0%),27.6–53.8%,hard50,2,48
glm-5.3-flash,62,100,0.62,"[0.5220975529551107, 0.7090240074752127]",62/100 (62.0%),52.2–70.9%,core100,21,79
glm-5.3-flash,6,50,0.12,"[0.05617600150932274, 0.23804817383202992]",6/50 (12.0%),5.6–23.8%,hard50,17,33
qwen3.6-35b-a3b-fp8,55,100,0.55,"[0.45244602997442135, 0.6438546202048803]",55/100 (55.0%),45.2–64.4%,core100,15,85
qwen3.6-35b-a3b-fp8,8,50,0.16,"[0.08337420678033404, 0.2851421606303499]",8/50 (16.0%),8.3–28.5%,hard50,10,40
gpt-oss-120b,25,100,0.25,"[0.17545211362287672, 0.34304463548061603]",25/100 (25.0%),17.5–34.3%,core100,0,100
gpt-oss-120b,11,50,0.22,"[0.1275391597021442, 0.3524154958125367]",11/50 (22.0%),12.8–35.2%,hard50,2,48
