model,passed,total,rate,wilson_95,display,wilson_display,group,empty,n_nonempty
deepseek-v4-pro,55,76,0.7236842105263158,"[0.6142463460107743, 0.8115975764600853]",55/76 (72.4%),61.4–81.2%,Adapted,0,76
deepseek-v4-pro,51,56,0.9107142857142857,"[0.8074399861448884, 0.9612578515504131]",51/56 (91.1%),80.7–96.1%,Direct,0,56
deepseek-v4-pro,9,18,0.5,"[0.29031021505169974, 0.7096897849483003]",9/18 (50.0%),29.0–71.0%,Composite,0,18
deepseek-v4-flash,51,76,0.6710526315789473,"[0.5594380888358765, 0.7662072636418396]",51/76 (67.1%),55.9–76.6%,Adapted,0,76
deepseek-v4-flash,50,56,0.8928571428571429,"[0.7853155482892853, 0.9499606442888293]",50/56 (89.3%),78.5–95.0%,Direct,0,56
deepseek-v4-flash,7,18,0.3888888888888889,"[0.2030524657216362, 0.613809583977621]",7/18 (38.9%),20.3–61.4%,Composite,0,18
gpt-5.6-luna,50,76,0.6578947368421053,"[0.5459589781543774, 0.7546367318250531]",50/76 (65.8%),54.6–75.5%,Adapted,2,74
gpt-5.6-luna,45,56,0.8035714285714286,"[0.681553923735416, 0.8866140432567635]",45/56 (80.4%),68.2–88.7%,Direct,2,54
gpt-5.6-luna,7,18,0.3888888888888889,"[0.2030524657216362, 0.613809583977621]",7/18 (38.9%),20.3–61.4%,Composite,2,16
glm-5.3-flash,24,76,0.3157894736842105,"[0.22230854157063415, 0.42699646345336384]",24/76 (31.6%),22.2–42.7%,Adapted,27,49
glm-5.3-flash,40,56,0.7142857142857143,"[0.5852474928448334, 0.8158122485614109]",40/56 (71.4%),58.5–81.6%,Direct,8,48
glm-5.3-flash,4,18,0.2222222222222222,"[0.09000928108601694, 0.45214584316212625]",4/18 (22.2%),9.0–45.2%,Composite,3,15
qwen3.6-35b-a3b-fp8,27,76,0.35526315789473684,"[0.2570177876603489, 0.4674361448585067]",27/76 (35.5%),25.7–46.7%,Adapted,16,60
qwen3.6-35b-a3b-fp8,31,56,0.5535714285714286,"[0.4241321478993947, 0.6761327874521665]",31/56 (55.4%),42.4–67.6%,Direct,8,48
qwen3.6-35b-a3b-fp8,5,18,0.2777777777777778,"[0.12499753379553993, 0.5087265656029746]",5/18 (27.8%),12.5–50.9%,Composite,1,17
gpt-oss-120b,16,76,0.21052631578947367,"[0.1339514670987436, 0.31495639793896757]",16/76 (21.1%),13.4–31.5%,Adapted,2,74
gpt-oss-120b,16,56,0.2857142857142857,"[0.18418775143858906, 0.4147525071551667]",16/56 (28.6%),18.4–41.5%,Direct,0,56
gpt-oss-120b,4,18,0.2222222222222222,"[0.09000928108601694, 0.45214584316212625]",4/18 (22.2%),9.0–45.2%,Composite,0,18
