model,task_id,suite_split,construction_split,hard3,lift_type,feature_family,entanglement_primary,entanglement_level,has_run_json,has_result_json,submission_file_count,usable_submission,functional_pass,first_failure_stage,run_status,freeze_id,agent_docker_image,eval_docker_image,build_pass,public_pass,hidden_pass,isolation_pass,rres,extraction_ratio,copied_fraction,copied_loc,submitted_loc,reference_loc,compactness_class,artifact_fail,process_tve,process_invalid_encrypted,process_timeout,process_promoted_process,process_context_violation,process_usage_unverified,process_usage_source,process_api_calls,process_assistant_steps,process_prompt_tokens,process_completion_tokens,process_total_tokens,process_effective_uncached_prompt_tokens,process_incremental_tokens,process_prompt_cache_accounting,process_duration_seconds,process_detail,process_flags
deepseek-v4-pro,aiohttp__url_params_core__hard3_001,python150,hard50,True,Adapted,validate_normalize_construct,data_model_coupling,high,True,True,1,True,False,hidden_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,False,True,2.728571,2.728571,0.0,0,191,70,non_functional,True,True,False,False,False,False,False,usage.json,73,72,4648429,52244,4700673,77421,129665,True,804.236889,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,alembic__revision_map_core__hard3_001,python150,hard50,True,Adapted,algorithm_data_structure,data_model_coupling,high,True,True,2,True,False,public_failure,failed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,False,False,True,5.815668,5.815668,0.686212,866,1262,217,non_functional,True,True,False,False,False,True,False,usage.json,65,62,4687955,83383,4771338,141907,225290,True,1058.816613,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'file_text']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,apscheduler__cron_trigger_core__hard3_001,python150,hard50,True,Adapted,protocol_state_transition,parser_state_coupling,high,True,True,2,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,7.59322,7.59322,0.573661,257,448,59,copy_heavy_pass,False,True,False,False,False,True,False,usage.json,79,81,6132937,320196,6453133,153417,473613,True,3555.823092,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,arrow__parse_format_core__001,python150,core100,False,Adapted,parse_tokenize_decode,parser_state_coupling,high,True,True,9,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.686354,0.686354,0.913452,1847,2022,2946,copy_heavy_pass,False,False,False,False,False,True,False,usage.json,63,61,4387614,51377,4438991,179230,230607,True,695.122456,passed,[]
deepseek-v4-pro,astroid__nodes_core__001,python150,core100,False,Adapted,parse_tokenize_decode,data_model_coupling,high,True,True,100,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.403068,1.403068,0.955751,22377,23413,16687,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,40,40,1712535,26124,1738659,50583,76707,True,445.458146,passed,[]
deepseek-v4-pro,attrs__validators_core__001,python150,core100,False,Direct,validate_normalize_construct,data_model_coupling,high,True,True,9,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.884291,0.884291,0.995667,3447,3462,3915,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,64,62,4568464,29166,4597630,81680,110846,True,516.344959,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,babel__plural_core__001,python150,core100,False,Adapted,cache_retry_policy,third_party_dependency_coupling,high,True,True,18,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.58529,0.58529,0.920803,872,947,1618,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,50,48,2945209,43472,2988681,50617,94089,True,582.555494,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path', 'old_str', 'new_str']","[""tool_validation_error"", ""tve""]"
deepseek-v4-pro,bidict__bidirectional_map_core__001,python150,core100,False,Direct,algorithm_data_structure,data_model_coupling,high,True,True,12,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,1.008539,1.008539,0.988711,1051,1063,1054,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,32,31,1514645,15829,1530474,50965,66794,True,233.477222,passed,[]
deepseek-v4-pro,bleach__sanitize_core__001,python150,core100,False,Adapted,validate_normalize_construct,parser_state_coupling,high,True,True,38,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,0.933479,0.933479,0.99399,12735,12812,13725,copy_heavy_pass,False,False,False,False,False,False,False,usage.json,54,53,3025667,27675,3053342,59011,86686,True,400.561632,passed,[]
deepseek-v4-pro,blinker__signal_registry_core__001,python150,core100,False,Direct,registry_plugin_dispatch,framework_coupling,high,True,True,1,True,True,functional_pass,passed,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,featureliftbench-agent:python200-prime-212930ea,featureliftbench-eval:python200-prime-212930ea,True,True,True,True,9.0,9.0,0.578431,177,306,34,copy_heavy_pass,False,True,False,False,False,False,False,usage.json,31,28,1316504,29366,1345870,39832,69198,True,369.431902,"Error validating tool 'file_editor': Failed to provide security_risk field in tool 'file_editor'. Parameters provided: ['command', 'path']","[""tool_validation_error"", ""tve""]"
