task_id,suite_split,lift_type,feature_family,functional_pass,audit_failure_class,max_allowed_prompt_tokens,max_prompt_tokens_per_call,context_overage_tokens,overage_band,total_tokens,effective_uncached_prompt_tokens
pydantic_settings__env_source_core__001,python150,Adapted,config_resolve_discover,True,pass,122880,139443,16563,>8k,10603108,174495
pylint__config_find_core__001,hard50,Adapted,config_resolve_discover,False,public_behavior,122880,139405,16525,>8k,10056126,180714
oslo_config__opt_group_core__001,hard50,Composite,config_resolve_discover,False,dependency_install_infrastructure,122880,139251,16371,>8k,9508733,163520
chameleon__template_compile_core__001,python150,Adapted,serialize_format_render,True,pass,122880,139236,16356,>8k,10291463,185161
jsonschema__validator_core__001,python150,Direct,validate_normalize_construct,True,pass,122880,138915,16035,>8k,8576213,160681
astroid__nodes_core__001,python150,Adapted,parse_tokenize_decode,True,pass,122880,138623,15743,>8k,9542862,185759
spiffworkflow__bpmn_engine_core__001,hard50,Composite,workflow_session_orchestration,False,dependency_install_infrastructure,122880,138554,15674,>8k,6654590,147913
deepdiff__deep_compare_core__001,python150,Direct,algorithm_data_structure,True,pass,122880,138522,15642,>8k,8952538,170787
oauthlib__grant_dispatch_core__001,hard50,Adapted,registry_plugin_dispatch,True,pass,122880,138499,15619,>8k,11465347,180757
pandera__dataframe_schema_core__001,hard50,Composite,validate_normalize_construct,False,dependency_install_infrastructure,122880,137698,14818,>8k,10840830,192984
ruamel_yaml__roundtrip_core__001,python150,Adapted,serialize_format_render,True,pass,122880,137625,14745,>8k,9693565,87561
typer__command_parser_core__001,python150,Direct,workflow_session_orchestration,False,public_behavior,122880,137568,14688,>8k,11120269,396228
rich__markup_parse_core__001,python150,Adapted,parse_tokenize_decode,True,pass,122880,137184,14304,>8k,7429301,151690
jinja2__lexer_parser_core__001,python150,Adapted,parse_tokenize_decode,True,pass,122880,137064,14184,>8k,8789722,160066
importlib_resources__traversable_tree_core__hard3_001,python150,Composite,resource_metadata_loading,False,public_behavior,122880,137038,14158,>8k,7874061,128514
falcon__responder_routing_core__001,hard50,Direct,registry_plugin_dispatch,True,pass,122880,136042,13162,>8k,9862532,161620
arrow__parse_format_core__001,python150,Adapted,parse_tokenize_decode,True,pass,122880,135459,12579,>8k,11536103,166920
glom__spec_eval_core__hard3_001,python150,Adapted,algorithm_data_structure,True,pass,122880,135293,12413,>8k,10682383,214008
multidict__multidict_mutation_core__hard3_001,python150,Direct,algorithm_data_structure,False,public_behavior,122880,135077,12197,>8k,10811213,232867
hatch__project_metadata_core__hard3_001,python150,Adapted,resource_metadata_loading,False,public_behavior,122880,134875,11995,>8k,5688939,123562
cement__controller_plugin_core__001,hard50,Composite,registry_plugin_dispatch,True,pass,122880,134686,11806,>8k,7430519,146137
pygments__lexer_core__001,python150,Direct,parse_tokenize_decode,False,hidden_only_behavior,122880,134680,11800,>8k,6133151,95519
hydra_core__compose_initialize_core__001,hard50,Composite,registry_plugin_dispatch,False,public_behavior,122880,134632,11752,>8k,10166739,262587
transitions__state_machine_core__hard3_001,python150,Adapted,protocol_state_transition,True,pass,122880,134626,11746,>8k,10742058,158213
pendulum__parse_format_core__001,python150,Adapted,parse_tokenize_decode,True,pass,122880,134542,11662,>8k,10822066,257380
beaker__session_cache_core__001,hard50,Adapted,workflow_session_orchestration,True,pass,122880,134524,11644,>8k,4360156,142281
scrapy__item_loader_core__hard3_001,python150,Adapted,registry_plugin_dispatch,False,public_behavior,122880,134056,11176,>8k,8902139,210375
copier__template_answers_core__001,hard50,Adapted,config_resolve_discover,False,dependency_install_infrastructure,122880,133944,11064,>8k,6853133,164421
cherrypy__dispatch_tool_core__001,hard50,Composite,registry_plugin_dispatch,True,pass,122880,133915,11035,>8k,8762858,141423
oslo_policy__enforcer_core__001,hard50,Composite,registry_plugin_dispatch,False,dependency_install_infrastructure,122880,133908,11028,>8k,9818043,171208
taskiq__broker_task_core__001,hard50,Composite,workflow_session_orchestration,False,dependency_install_infrastructure,122880,133475,10595,>8k,8372367,64699
networkx__dag_topo_core__001,python150,Direct,algorithm_data_structure,True,pass,122880,133242,10362,>8k,5662468,144905
lark__parse_tree_core__001,python150,Direct,parse_tokenize_decode,True,pass,122880,132811,9931,>8k,9847514,76796
bleach__sanitize_core__001,python150,Adapted,validate_normalize_construct,True,pass,122880,132381,9501,>8k,11718807,276344
pre_commit__config_load_core__001,hard50,Adapted,config_resolve_discover,True,pass,122880,132163,9283,>8k,4557891,62164
anyio__task_group_core__001,hard50,Adapted,workflow_session_orchestration,True,pass,122880,132155,9275,>8k,6329848,63039
flask__route_dispatch_core__001,python150,Adapted,registry_plugin_dispatch,False,public_behavior,122880,132048,9168,>8k,5456730,110665
zope_interface__adapter_registry_core__001,hard50,Composite,registry_plugin_dispatch,False,hidden_only_behavior,122880,131872,8992,>8k,8808103,178815
cliff__command_dispatch_core__001,hard50,Adapted,registry_plugin_dispatch,True,pass,122880,131748,8868,>8k,5701868,58506
isort__settings_resolver_core__hard3_001,python150,Adapted,config_resolve_discover,True,pass,122880,131531,8651,>8k,5135832,51068
quart__blueprint_dispatch_core__001,hard50,Adapted,registry_plugin_dispatch,False,dependency_install_infrastructure,122880,131468,8588,>8k,7217525,143942
jupyter_core__paths_resolver_core__hard3_001,python150,Adapted,config_resolve_discover,False,public_behavior,122880,131290,8410,>8k,5036797,52553
graphene__schema_execute_core__001,hard50,Composite,workflow_session_orchestration,True,pass,122880,131215,8335,>8k,7529355,71118
apscheduler__cron_trigger_core__hard3_001,python150,Adapted,protocol_state_transition,True,pass,122880,131204,8324,>8k,4818009,108435
alembic__revision_map_core__hard3_001,python150,Adapted,algorithm_data_structure,False,public_behavior,122880,130943,8063,4–8k,9001373,140732
parsel__selector_namespace_core__hard3_001,python150,Adapted,parse_tokenize_decode,False,public_behavior,122880,130709,7829,4–8k,10194257,221825
jinja2__compile_render_core__001,python150,Adapted,serialize_format_render,True,pass,122880,130383,7503,4–8k,10670167,169651
humanize__naturaltime_core__001,python150,Direct,serialize_format_render,True,pass,122880,130048,7168,4–8k,3133072,69462
sqlalchemy__event_dispatch_core__hard3_001,python150,Adapted,registry_plugin_dispatch,True,pass,122880,129973,7093,4–8k,3436578,73904
