task_id,suite_split,lift_type,feature_family,audit_failure_class,paper_attribution,context_violation,dependency_requirement,failed_test_count,error_types,evidence
apischema__serialization_core__001,hard50,Adapted,validate_normalize_construct,agent_no_submission,model_or_output,False,,0,,agent did not create any files under workspace/submission
dynaconf__settings_merge_core__001,python150,Adapted,config_resolve_discover,agent_no_submission,model_or_output,False,,0,,agent did not create any files under workspace/submission
authlib__oauth2_server_core__001,hard50,Adapted,workflow_session_orchestration,dependency_install_infrastructure,infrastructure,False,cffi==2.1.1,0,,"dependency install failed: ERROR: Could not find a version that satisfies the requirement cffi==2.1.1 (from versions: 1.17.1)
ERROR: No matching distribution found for cffi==2.1.1"
betamax__cassette_match_core__001,hard50,Direct,resource_metadata_loading,dependency_install_infrastructure,infrastructure,False,charset-normalizer==3.5.1,0,,"dependency install failed: ERROR: Could not find a version that satisfies the requirement charset-normalizer==3.5.1 (from versions: 3.4.7)
ERROR: No matching distribution found for charset-normalizer==3.5.1"
connexion__openapi_resolver_core__001,hard50,Composite,registry_plugin_dispatch,dependency_install_infrastructure,infrastructure,False,rpds-py==2026.6.3,0,,"dependency install failed: ERROR: Could not find a version that satisfies the requirement rpds-py==2026.6.3 (from versions: 0.20.0)
ERROR: No matching distribution found for rpds-py==2026.6.3"
copier__template_answers_core__001,hard50,Adapted,config_resolve_discover,dependency_install_infrastructure,infrastructure,True,pydantic-core==2.33.2,0,,"dependency install failed: ERROR: Could not find a version that satisfies the requirement pydantic-core==2.33.2 (from versions: 2.23.4)
ERROR: No matching distribution found for pydantic-core==2.33.2"
goodconf__typed_env_core__001,hard50,Adapted,config_resolve_discover,dependency_install_infrastructure,infrastructure,False,pydantic-core==2.33.2,0,,"dependency install failed: ERROR: Could not find a version that satisfies the requirement pydantic-core==2.33.2 (from versions: 2.23.4)
ERROR: No matching distribution found for pydantic-core==2.33.2"
limits__strategy_storage_core__001,hard50,Adapted,registry_plugin_dispatch,dependency_install_infrastructure,infrastructure,False,wrapt==1.17.3,0,,"dependency install failed: ERROR: Could not find a version that satisfies the requirement wrapt==1.17.3 (from versions: 1.16.0)
ERROR: No matching distribution found for wrapt==1.17.3"
luigi__task_requires_core__001,hard50,Composite,workflow_session_orchestration,dependency_install_infrastructure,infrastructure,False,tornado==6.5.2,0,,"dependency install failed: ERROR: Could not find a version that satisfies the requirement tornado==6.5.2 (from versions: none)
ERROR: No matching distribution found for tornado==6.5.2"
openapi_schema_validator__draft_core__001,hard50,Direct,validate_normalize_construct,dependency_install_infrastructure,infrastructure,False,rpds-py==2026.6.3,0,,"dependency install failed: ERROR: Could not find a version that satisfies the requirement rpds-py==2026.6.3 (from versions: 0.20.0)
ERROR: No matching distribution found for rpds-py==2026.6.3"
