task_id,v2_label,in_fixed116
anyio__task_group_core__001,meets_standard,False
arrow__parse_format_core__001,meets_standard,False
bandit__config_plugin_core__001,meets_standard,True
betamax__cassette_match_core__001,meets_standard,False
cement__controller_plugin_core__001,meets_standard,False
copier__template_answers_core__001,meets_standard,False
coverage__path_remap_core__001,meets_standard,True
croniter__cron_parse_core__001,meets_standard,True
dataclasses_json__serde_core__001,meets_standard,True
diskcache__eviction_policy_core__hard3_001,violates,True
falcon__responder_routing_core__001,meets_standard,False
graphene__schema_execute_core__001,meets_standard,False
httpretty__uri_stub_core__001,meets_standard,True
jinja2__filters_tests_core__001,meets_standard,True
license_expression__policy_core__hard3_001,meets_standard,False
markdown__extensions_core__001,meets_standard,True
mashumaro__dataclass_codec_core__001,meets_standard,True
mitmproxy__url_parse_core__001,meets_standard,True
oauthlib__grant_dispatch_core__001,meets_standard,False
paste__dispatch_map_core__001,meets_standard,True
pendulum__parse_format_core__001,meets_standard,False
pika__channel_spec_core__001,meets_standard,True
pre_commit__config_load_core__001,meets_standard,False
pylint__config_find_core__001,meets_standard,False
python_dotenv__env_parse_core__001,meets_standard,True
spiffworkflow__bpmn_engine_core__001,violates,False
sqlparse__parse_format_core__001,meets_standard,True
sqlparse__parse_split_core__001,meets_standard,True
stdnum__isbn_validate_core__001,meets_standard,True
