task_id,v2_label,in_fixed116,in_replace84,functional_pass,failure_stage,suite_split,lift_type,rres
aiohttp__url_params_core__hard3_001,violates,False,True,False,hidden,python150,Adapted,3.971429
alembic__revision_map_core__hard3_001,meets_standard,False,True,False,public,python150,Adapted,7.447005
anyio__task_group_core__001,meets_standard,False,True,True,pass,hard50,Adapted,0.071601
apischema__serialization_core__001,meets_standard,True,False,False,missing_submission,hard50,Adapted,
apispec__plugin_documenter_core__001,violates,True,False,True,pass,hard50,Adapted,0.349347
apscheduler__cron_trigger_core__hard3_001,meets_standard,False,True,True,pass,python150,Adapted,9.322034
arrow__parse_format_core__001,meets_standard,False,True,True,pass,python150,Adapted,0.704684
astroid__nodes_core__001,meets_standard,False,True,True,pass,python150,Adapted,0.904536
asttokens__token_annotate_core__001,violates,True,False,True,pass,hard50,Direct,0.824125
attrs__validators_core__001,meets_standard,True,False,True,pass,python150,Direct,1.049042
authlib__oauth2_server_core__001,violates,False,True,False,build,hard50,Adapted,0.09463
babel__plural_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.681706
bandit__config_plugin_core__001,meets_standard,True,False,True,pass,hard50,Direct,0.130927
beaker__session_cache_core__001,violates,False,True,True,pass,hard50,Adapted,0.511703
betamax__cassette_match_core__001,meets_standard,False,True,False,build,hard50,Direct,0.531111
bidict__bidirectional_map_core__001,meets_standard,True,False,True,pass,python150,Direct,0.993359
bleach__sanitize_core__001,meets_standard,False,True,True,pass,python150,Adapted,0.428124
blinker__signal_registry_core__001,meets_standard,True,False,True,pass,python150,Direct,12.441176
boltons__iterutils_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.507258
build__pyproject_backend_core__hard3_001,violates,True,False,False,public,python150,Adapted,2.265306
cachetools__cache_eviction_core__001,violates,True,False,True,pass,python150,Direct,0.765589
cattrs__structure_core__001,meets_standard,True,False,True,pass,python150,Direct,1.004365
celery__signal_dispatch_core__hard3_001,meets_standard,True,False,False,public,python150,Adapted,2.835821
cement__controller_plugin_core__001,meets_standard,False,True,True,pass,hard50,Composite,0.218742
cerberus__schema_validate_core__001,meets_standard,False,True,True,pass,python150,Direct,0.92549
chameleon__template_compile_core__001,meets_standard,False,True,True,pass,python150,Adapted,0.946282
cherrypy__dispatch_tool_core__001,meets_standard,False,True,True,pass,hard50,Composite,0.126125
click__lazy_command_core__hard3_001,violates,True,False,False,public,python150,Adapted,3.607143
click__option_parser__001,meets_standard,True,False,True,pass,python150,Adapted,0.99987
cliff__command_dispatch_core__001,meets_standard,False,True,True,pass,hard50,Adapted,0.229823
configobj__roundtrip_config_core__001,violates,True,False,True,pass,python150,Direct,0.990079
connexion__openapi_resolver_core__001,meets_standard,False,True,False,build,hard50,Composite,0.028501
cookiecutter__repo_finder_core__hard3_001,violates,True,False,False,public,python150,Composite,1.404494
copier__template_answers_core__001,meets_standard,False,True,False,build,hard50,Adapted,0.149156
coverage__config_merge_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.757658
coverage__glob_matcher_core__001,meets_standard,True,False,True,pass,python150,Direct,0.244041
coverage__path_remap_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.401816
coverage__report_core__001,meets_standard,True,False,True,pass,python150,Adapted,0.464871
coverage__source_selection_core__001,meets_standard,False,True,True,pass,python150,Adapted,0.292755
croniter__cron_parse_core__001,meets_standard,True,False,True,pass,python150,Direct,0.85098
dataclasses_json__serde_core__001,meets_standard,True,False,True,pass,python150,Direct,0.872781
dateutil__zone_resolver_core__hard3_001,violates,True,False,False,hidden,python150,Composite,4.208955
decorator__signature_preserving_core__001,meets_standard,True,False,False,public,python150,Direct,5.117647
deepdiff__deep_compare_core__001,violates,False,True,True,pass,python150,Direct,0.889593
