task_id,suite_split,lift_type,feature_family,copytrap,functional_pass,failure_stage,audit_failure_class,run_status,failure_class,final_score,reference_relative_loc_ratio,compactness_class,copied_fraction,submitted_loc,total_tokens,effective_uncached_prompt_tokens,completion_tokens,api_calls,context_violation,max_prompt_tokens_per_call,max_allowed_prompt_tokens,context_overage_tokens,agent_attempted,freeze_preflight_blocked,dependency_install_failed,dependency_failure_reason,run_error,source_snapshot_id,source_snapshot_match
anyio__task_group_core__001,hard50,Adapted,workflow_session_orchestration,false,True,pass,pass,failed,model_failed,1.0,0.071601,functional_mixed_footprint,0.680087,919,6329848,63039,72121,73,True,132155,122880,9275,True,False,False,,,github__agronholm__anyio__ae250440c900,True
apischema__serialization_core__001,hard50,Adapted,validate_normalize_construct,false,False,missing_submission,agent_no_submission,missing_submission,missing_submission,0.0,,,,,151232,23467,3093,10,False,28730,122880,-94150,True,False,False,,agent did not create any files under workspace/submission,github__wyfo__apischema__a35301341c71,True
apispec__plugin_documenter_core__001,hard50,Adapted,registry_plugin_dispatch,false,True,pass,pass,passed,passed,1.0,0.349347,copy_heavy_pass,0.983979,749,1357825,40955,18694,31,False,60147,122880,-62733,True,False,False,,,github__marshmallow_code__apispec__b8a369570aa6,True
asttokens__token_annotate_core__001,hard50,Direct,parse_tokenize_decode,false,True,pass,pass,passed,passed,1.0,0.824125,copy_heavy_pass,0.979226,1059,2739463,51772,25419,53,False,75563,122880,-47317,True,False,False,dependency lock is empty,,github__gristlabs__asttokens__f97a6e1403d9,True
authlib__oauth2_server_core__001,hard50,Adapted,workflow_session_orchestration,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.09463,non_functional,0.50125,1600,2095992,43179,46925,35,False,87706,122880,-35174,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement cffi==2.1.1 (from versions: 1.17.1)
ERROR: No matching distribution found for cffi==2.1.1",,github__lepture__authlib__772bc72fe844,True
bandit__config_plugin_core__001,hard50,Direct,config_resolve_discover,false,True,pass,pass,passed,passed,1.0,0.130927,functional_mixed_footprint,0.239092,1146,4257003,61043,49656,69,False,108783,122880,-14097,True,False,False,,,github__pycqa__bandit__f8b9f1a2210f,True
beaker__session_cache_core__001,hard50,Adapted,workflow_session_orchestration,false,True,pass,pass,failed,model_failed,1.0,0.511703,copy_heavy_pass,0.814751,1749,4360156,142281,77587,57,True,134524,122880,11644,True,False,False,dependency lock is empty,,github__bbangert__beaker__14368d97c2da,True
betamax__cassette_match_core__001,hard50,Direct,resource_metadata_loading,true,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.531111,non_functional,0.778243,956,5461117,51402,58803,79,False,107816,122880,-15064,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement charset-normalizer==3.5.1 (from versions: 3.4.7)
ERROR: No matching distribution found for charset-normalizer==3.5.1",,github__betamaxpy__betamax__8f3d28410367,True
cement__controller_plugin_core__001,hard50,Composite,registry_plugin_dispatch,false,True,pass,pass,failed,model_failed,1.0,0.218742,functional_mixed_footprint,0.754695,1704,7430519,146137,83870,94,True,134686,122880,11806,True,False,False,dependency lock is empty,,github__datafolklabs__cement__b5af20431d4c,True
cherrypy__dispatch_tool_core__001,hard50,Composite,registry_plugin_dispatch,false,True,pass,pass,failed,agent_step_limited,1.0,0.126125,functional_mixed_footprint,0.477408,1682,8762858,141423,101755,118,True,133915,122880,11035,True,False,False,,,github__cherrypy__cherrypy__1f75bc9eed8e,True
cliff__command_dispatch_core__001,hard50,Adapted,registry_plugin_dispatch,false,True,pass,pass,failed,model_failed,1.0,0.229823,functional_mixed_footprint,0.767559,598,5701868,58506,75362,70,True,131748,122880,8868,True,False,False,,,github__openstack__cliff__89efc71e3660,True
connexion__openapi_resolver_core__001,hard50,Composite,registry_plugin_dispatch,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.028501,non_functional,0.495192,208,1167566,34232,22678,35,False,57033,122880,-65847,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement rpds-py==2026.6.3 (from versions: 0.20.0)
ERROR: No matching distribution found for rpds-py==2026.6.3",,github__spec_first__connexion__a23d44e0e042,True
copier__template_answers_core__001,hard50,Adapted,config_resolve_discover,false,False,build,dependency_install_infrastructure,failed,model_failed,0.0,0.149156,non_functional,0.713235,680,6853133,164421,70472,86,True,133944,122880,11064,True,False,True,"dependency install failed: ERROR: Could not find a version that satisfies the requirement pydantic-core==2.33.2 (from versions: 2.23.4)
ERROR: No matching distribution found for pydantic-core==2.33.2",,github__copier_org__copier__5f71fad40920,True
dogpile_cache__region_backend_core__001,hard50,Adapted,registry_plugin_dispatch,false,True,pass,pass,failed,model_failed,1.0,0.192785,copy_heavy_pass,0.836016,994,3379676,54722,48794,53,False,102714,122880,-20166,True,False,False,,,github__sqlalchemy__dogpile_cache__185db4fb6cd8,True
dramatiq__actor_stub_broker_core__001,hard50,Composite,workflow_session_orchestration,false,True,pass,pass,passed,passed,1.0,0.150542,functional_mixed_footprint,0.719603,806,2369033,46660,38597,39,False,85650,122880,-37230,True,False,False,dependency lock is empty,,github__bogdanp__dramatiq__848b35f2f960,True
