task_id,deepseek-v4-flash,gpt-5.6-luna,qwen3.6-35b-a3b-fp8,gpt-oss-120b,glm-5.3-flash
aiohttp__url_params_core__hard3_001,fail,pass,fail,fail,fail
build__pyproject_backend_core__hard3_001,fail,fail,fail,fail,fail
cachetools__cache_eviction_core__001,pass,pass,pass,pass,pass
click__lazy_command_core__hard3_001,fail,fail,fail,fail,fail
configobj__roundtrip_config_core__001,pass,pass,fail,fail,pass
cookiecutter__repo_finder_core__hard3_001,fail,empty,fail,fail,fail
dateutil__zone_resolver_core__hard3_001,fail,fail,fail,fail,not_run
deepdiff__deep_compare_core__001,pass,fail,fail,fail,not_run
diskcache__eviction_policy_core__hard3_001,pass,pass,pass,pass,not_run
fs__url_opener_core__hard3_001,pass,fail,fail,fail,not_run
hatch__project_metadata_core__hard3_001,fail,fail,fail,empty,not_run
importlib_metadata__entry_points_core__001,pass,pass,empty,fail,not_run
installer__wheel_record_core__hard3_001,fail,fail,fail,fail,not_run
intervaltree__interval_tree_core__001,pass,pass,empty,fail,not_run
jsonpointer__resolve_core__001,pass,pass,pass,pass,not_run
multidict__multidict_mutation_core__hard3_001,fail,fail,fail,fail,not_run
packaging__requirement_marker_specifier__001,pass,pass,pass,fail,not_run
python_frontmatter__roundtrip_core__001,pass,pass,pass,pass,not_run
readme_renderer__content_type_core__hard3_001,fail,fail,fail,fail,not_run
setuptools_scm__version_normalize_core__hard3_001,fail,fail,fail,fail,not_run
sortedcontainers__sorted_list_core__001,pass,pass,fail,fail,not_run
stevedore__extension_manager_core__hard3_001,pass,pass,pass,fail,not_run
virtualenv__interpreter_spec_core__hard3_001,pass,fail,empty,fail,not_run
websockets__handshake_parse_core__001,pass,pass,fail,fail,not_run
