task_id,status,failure_class,functional_gate,build_pass,public_tests_pass,hidden_tests_pass,isolation_pass,empty_submission,process_failure,process_class,freeze_id,attempt
aiohttp__url_params_core__hard3_001,failed,model_failed,False,True,True,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
build__pyproject_backend_core__hard3_001,failed,model_failed,False,True,False,True,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
cachetools__cache_eviction_core__001,passed,passed,True,True,True,True,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
click__lazy_command_core__hard3_001,failed,model_failed,False,True,False,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
configobj__roundtrip_config_core__001,failed,model_failed,False,True,False,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
cookiecutter__repo_finder_core__hard3_001,failed,model_failed,False,True,False,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
dateutil__zone_resolver_core__hard3_001,failed,model_failed,False,True,False,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
deepdiff__deep_compare_core__001,failed,model_failed,False,False,False,False,False,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
diskcache__eviction_policy_core__hard3_001,passed,passed,True,True,True,True,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
fs__url_opener_core__hard3_001,failed,model_failed,False,True,False,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
hatch__project_metadata_core__hard3_001,failed,model_failed,False,True,False,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
importlib_metadata__entry_points_core__001,missing_submission,missing_submission,,,,,,True,True,tool_validation_error,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
installer__wheel_record_core__hard3_001,failed,model_failed,False,True,True,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
intervaltree__interval_tree_core__001,missing_submission,missing_submission,,,,,,True,True,tool_validation_error,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
jsonpointer__resolve_core__001,passed,passed,True,True,True,True,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
multidict__multidict_mutation_core__hard3_001,failed,model_failed,False,True,False,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
packaging__requirement_marker_specifier__001,passed,passed,True,True,True,True,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
python_frontmatter__roundtrip_core__001,passed,passed,True,True,True,True,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
readme_renderer__content_type_core__hard3_001,failed,model_failed,False,False,False,False,False,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
setuptools_scm__version_normalize_core__hard3_001,failed,model_failed,False,True,False,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
sortedcontainers__sorted_list_core__001,failed,model_failed,False,True,True,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
stevedore__extension_manager_core__hard3_001,passed,passed,True,True,True,True,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
virtualenv__interpreter_spec_core__hard3_001,missing_submission,missing_submission,,,,,,True,True,tool_validation_error,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
websockets__handshake_parse_core__001,failed,model_failed,False,True,False,False,True,False,False,,6c20ff0307762503a73cbb9ff32e9992c6446e4b17483a68373027be58cbf419,2
