model,arm,task_id,repository,cohort,lift_type,functional_pass,delivered,first_outcome,run_status,last_conversation_error,service_error_recorded,conversation_error_codes,api_error_without_submission,max_steps,timeout_seconds,persisted_max_iterations,context_window_tokens,reserved_output_tokens,agent_network,eval_network,eval_capsule,agent_exit_status,record_path
gpt-5.6-luna,full_repository,pydantic_v1__validation_error_core__001,github__pydantic__pydantic,earlier,Adapted,0,0,Missing,missing_submission,LLMServiceUnavailableError,1,LLMServiceUnavailableError,1,,3600,500,131072,8192,bridge,none,,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/pydantic_v1__validation_error_core__001/run.json
gpt-5.6-luna,full_repository,pytest__ini_markers_core__001,github__pytest_dev__pytest,earlier,Composite,0,0,Missing,missing_submission,LLMServiceUnavailableError,1,LLMServiceUnavailableError,1,,3600,500,131072,8192,bridge,none,,passed,gpt-5.6-luna/source-ablation-40-r1/full_repository/pytest__ini_markers_core__001/run.json
gpt-5.6-luna,full_repository,astroid__nodes_core__001,github__pycqa__astroid,earlier,Adapted,0,0,Missing,missing_submission,LLMServiceUnavailableError,1,LLMServiceUnavailableError,1,,3600,500,131072,8192,bridge,none,,tool_validation_error,gpt-5.6-luna/source-ablation-40-r1/full_repository/astroid__nodes_core__001/run.json
gpt-5.6-luna,contract_only,pydantic_v1__validation_error_core__001,github__pydantic__pydantic,earlier,Adapted,0,0,Missing,missing_submission,LLMServiceUnavailableError,1,LLMServiceUnavailableError,1,,3600,500,131072,8192,bridge,none,,passed,gpt-5.6-luna/source-ablation-40-r1/contract_only/pydantic_v1__validation_error_core__001/run.json
gpt-5.6-luna,contract_only,pytest__ini_markers_core__001,github__pytest_dev__pytest,earlier,Composite,0,0,Missing,missing_submission,LLMServiceUnavailableError,1,LLMServiceUnavailableError,1,,3600,500,131072,8192,bridge,none,,passed,gpt-5.6-luna/source-ablation-40-r1/contract_only/pytest__ini_markers_core__001/run.json
gpt-5.6-luna,contract_only,decorator__signature_preserving_core__001,github__micheles__decorator,earlier,Direct,0,0,Missing,missing_submission,LLMServiceUnavailableError,1,LLMServiceUnavailableError,1,,3600,500,131072,8192,bridge,none,,passed,gpt-5.6-luna/source-ablation-40-r1/contract_only/decorator__signature_preserving_core__001/run.json
deepseek-v4-pro,contract_only,deepdiff__deep_compare_core__001,github__qlustered__deepdiff,earlier,Direct,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/deepdiff__deep_compare_core__001/run.json
deepseek-v4-pro,contract_only,mako__lexer_expression_core__001,github__sqlalchemy__mako,earlier,Direct,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/mako__lexer_expression_core__001/run.json
deepseek-v4-pro,contract_only,babel__plural_core__001,github__python_babel__babel,earlier,Adapted,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/babel__plural_core__001/run.json
deepseek-v4-pro,contract_only,attrs__validators_core__001,github__python_attrs__attrs,earlier,Direct,0,0,Missing,missing_submission,LLMTimeoutError,1,LLMTimeoutError,1,120,3600,500,131072,8192,bridge,none,,passed,deepseek-v4-pro/source-ablation-40-r1/contract_only/attrs__validators_core__001/run.json
