task_id,symbol,file,status
aiohttp__url_params_core__hard3_001,aiohttp.helpers.strip_auth_from_url,aiohttp/helpers.py,statically_mapped
alembic__revision_map_core__hard3_001,alembic.script.revision.Revision,alembic/script/revision.py,statically_mapped
alembic__revision_map_core__hard3_001,alembic.script.revision.RevisionMap,alembic/script/revision.py,statically_mapped
alembic__revision_map_core__hard3_001,alembic.script.revision.MultipleHeads,alembic/script/revision.py,statically_mapped
alembic__revision_map_core__hard3_001,alembic.script.revision.CycleDetected,alembic/script/revision.py,statically_mapped
alembic__revision_map_core__hard3_001,alembic.script.revision.ResolutionError,alembic/script/revision.py,statically_mapped
apscheduler__cron_trigger_core__hard3_001,apscheduler.triggers.cron.CronTrigger,src/apscheduler/triggers/cron/__init__.py,statically_mapped
arrow__parse_format_core__001,arrow.get,arrow/api.py,statically_mapped
arrow__parse_format_core__001,arrow.Arrow.format,arrow/arrow.py,statically_mapped
arrow__parse_format_core__001,arrow.Arrow.humanize,arrow/arrow.py,statically_mapped
arrow__parse_format_core__001,arrow.parser.DateTimeParser,arrow/parser.py,statically_mapped
astroid__nodes_core__001,astroid.builder.parse,astroid/builder.py,statically_mapped
astroid__nodes_core__001,astroid.rebuilder.TreeRebuilder,astroid/rebuilder.py,statically_mapped
astroid__nodes_core__001,astroid.nodes,astroid/nodes/__init__.py,statically_mapped
attrs__validators_core__001,attrs.define,attr/_next_gen.py,statically_mapped
attrs__validators_core__001,attrs.field,attr/_next_gen.py,statically_mapped
attrs__validators_core__001,attrs.validators,attrs/validators.py,statically_mapped
attrs__validators_core__001,attrs.validate,attr/_make.py,statically_mapped
attrs__validators_core__001,attr._make._AndValidator,attr/_make.py,statically_mapped
babel__plural_core__001,babel.plural.PluralRule,babel/plural.py,statically_mapped
babel__plural_core__001,babel.core.Locale,babel/core.py,statically_mapped
babel__plural_core__001,babel.core.Locale.plural_form,babel/core.py,statically_mapped
babel__plural_core__001,babel.localedata,babel/localedata.py,statically_mapped
bidict__bidirectional_map_core__001,bidict.bidict,bidict/_bidict.py,statically_mapped
bidict__bidirectional_map_core__001,bidict.frozenbidict,bidict/_frozen.py,statically_mapped
bidict__bidirectional_map_core__001,bidict.OrderedBidict,bidict/_orderedbidict.py,statically_mapped
bidict__bidirectional_map_core__001,bidict.ON_DUP_RAISE,bidict/_dup.py,statically_mapped
bidict__bidirectional_map_core__001,bidict.ValueDuplicationError,bidict/_exc.py,statically_mapped
bidict__bidirectional_map_core__001,bidict.inverted,bidict/_iter.py,statically_mapped
bleach__sanitize_core__001,bleach.clean,bleach/__init__.py,statically_mapped
bleach__sanitize_core__001,bleach.sanitizer.Cleaner,bleach/sanitizer.py,statically_mapped
blinker__signal_registry_core__001,blinker.base.Signal,src/blinker/base.py,statically_mapped
blinker__signal_registry_core__001,blinker.base.Namespace,src/blinker/base.py,statically_mapped
blinker__signal_registry_core__001,blinker.base.ANY,src/blinker/base.py,statically_mapped
boltons__iterutils_core__001,boltons.iterutils.chunked,boltons/iterutils.py,statically_mapped
boltons__iterutils_core__001,boltons.iterutils.windowed,boltons/iterutils.py,statically_mapped
boltons__iterutils_core__001,boltons.iterutils.pairwise,boltons/iterutils.py,statically_mapped
boltons__iterutils_core__001,boltons.iterutils.unique,boltons/iterutils.py,statically_mapped
